Date,Open,High,Low,Close,Volume
31-Dec-13,43.00,43.07,42.68,42.94,351907
30-Dec-13,42.89,43.33,42.80,43.03,316138
27-Dec-13,42.70,43.17,42.40,43.03,357601
26-Dec-13,42.18,42.61,41.92,42.47,271981
24-Dec-13,42.04,42.25,41.67,42.10,100124
23-Dec-13,41.77,42.18,41.32,42.05,206642
20-Dec-13,41.17,41.84,40.61,41.75,656149
19-Dec-13,41.18,41.54,40.89,40.98,264942
18-Dec-13,40.67,41.17,40.20,41.11,269782
17-Dec-13,40.68,40.87,40.37,40.64,320356
16-Dec-13,40.91,41.49,40.86,40.98,432183
13-Dec-13,40.39,40.77,40.16,40.62,498917
12-Dec-13,40.42,40.42,40.01,40.20,232470
11-Dec-13,40.80,41.11,40.38,40.51,295187
10-Dec-13,40.84,41.36,40.57,40.86,448577
9-Dec-13,40.17,41.06,40.15,41.04,451971
6-Dec-13,39.00,40.27,38.81,40.01,729350
5-Dec-13,38.95,39.94,38.25,38.63,1424205
4-Dec-13,38.27,38.39,37.54,37.89,660359
3-Dec-13,39.50,39.50,37.45,38.39,708978
2-Dec-13,38.00,38.00,37.36,37.45,396532
29-Nov-13,38.18,38.23,37.81,37.92,124091
27-Nov-13,37.44,38.30,37.25,37.94,166090
26-Nov-13,36.85,37.44,36.76,37.30,265968
25-Nov-13,37.12,37.14,36.67,36.86,230620
22-Nov-13,36.98,37.12,36.62,37.10,154783
21-Nov-13,36.36,37.62,36.36,37.08,523013
20-Nov-13,36.36,36.53,35.96,36.35,222209
19-Nov-13,36.30,36.47,36.00,36.13,265433
18-Nov-13,36.14,36.70,36.05,36.17,220981
15-Nov-13,35.95,36.28,35.87,36.06,352124
14-Nov-13,36.28,36.36,35.78,36.00,151759
13-Nov-13,36.10,36.50,36.10,36.38,159313
12-Nov-13,36.01,36.30,35.81,36.23,251998
11-Nov-13,36.00,36.21,35.84,36.07,132318
8-Nov-13,35.49,36.05,35.24,36.03,260152
7-Nov-13,36.30,36.30,35.50,35.57,172861
6-Nov-13,36.25,36.35,35.99,36.14,150474
5-Nov-13,36.33,36.40,35.99,36.13,128429
4-Nov-13,36.37,36.50,36.05,36.40,214912
1-Nov-13,36.43,36.60,35.83,36.11,319767
31-Oct-13,36.72,36.82,36.28,36.52,281934
30-Oct-13,37.52,37.66,36.66,36.81,169148
29-Oct-13,37.18,37.53,37.08,37.50,212911
28-Oct-13,37.42,37.44,36.97,37.01,237123
25-Oct-13,37.77,37.77,37.24,37.50,201831
24-Oct-13,37.39,37.78,37.24,37.55,195837
23-Oct-13,37.50,37.85,37.08,37.26,166602
22-Oct-13,37.62,37.90,37.24,37.62,223976
21-Oct-13,37.93,38.13,37.53,37.59,266506
18-Oct-13,37.97,37.97,37.44,37.85,378970
17-Oct-13,36.79,37.85,36.79,37.69,363655
16-Oct-13,37.06,37.18,36.54,37.08,1045614
15-Oct-13,37.91,37.91,36.90,36.90,826453
14-Oct-13,37.37,38.17,37.05,38.04,475352
11-Oct-13,37.11,37.48,37.08,37.42,231741
10-Oct-13,37.14,37.44,36.85,37.33,219298
9-Oct-13,36.38,37.04,36.17,36.77,280210
8-Oct-13,37.32,37.98,36.32,36.35,235226
7-Oct-13,37.48,37.91,36.89,37.26,243710
4-Oct-13,37.00,38.04,37.00,37.98,506690
3-Oct-13,37.28,37.34,36.64,37.10,275390
2-Oct-13,37.35,37.61,37.16,37.37,190858
1-Oct-13,37.16,37.61,37.02,37.50,333021
30-Sep-13,36.91,37.22,36.37,37.06,475018
27-Sep-13,37.24,37.50,37.16,37.20,194105
26-Sep-13,37.50,37.70,37.21,37.52,226155
25-Sep-13,37.60,38.00,37.20,37.30,306076
24-Sep-13,37.72,37.76,37.10,37.65,386313
23-Sep-13,37.93,38.20,37.51,37.73,184223
20-Sep-13,38.20,38.34,37.75,37.91,1308147
19-Sep-13,37.97,38.28,37.71,38.14,254692
18-Sep-13,37.66,38.16,37.58,37.99,246758
17-Sep-13,36.88,37.94,36.88,37.68,259052
16-Sep-13,37.98,38.27,37.30,37.41,276884
13-Sep-13,37.50,38.03,37.27,37.78,604261
12-Sep-13,37.20,37.50,37.10,37.44,729709
11-Sep-13,36.90,37.42,36.61,37.19,345715
10-Sep-13,36.24,36.90,36.06,36.89,383637
9-Sep-13,36.00,36.40,36.00,36.07,905863
6-Sep-13,36.06,36.25,35.86,36.04,746766
5-Sep-13,35.59,36.08,35.47,35.97,820834
4-Sep-13,36.00,36.49,35.24,35.50,1022336
3-Sep-13,33.48,34.00,32.80,33.03,800296
30-Aug-13,33.79,33.98,33.05,33.15,497876
29-Aug-13,33.24,33.97,33.24,33.92,307931
28-Aug-13,33.74,33.98,33.03,33.20,218384
27-Aug-13,34.06,34.29,33.51,33.63,177972
26-Aug-13,34.67,35.07,34.18,34.27,83387
23-Aug-13,34.52,35.03,34.25,34.78,139696
22-Aug-13,34.14,35.41,33.92,34.51,93900
21-Aug-13,34.18,34.59,33.91,34.14,115802
20-Aug-13,33.88,34.58,33.80,34.34,168577
19-Aug-13,34.08,34.52,33.70,33.88,211467
16-Aug-13,34.29,34.59,34.04,34.06,346928
15-Aug-13,35.35,35.35,34.44,34.51,260806
14-Aug-13,36.34,36.34,35.61,35.66,196270
13-Aug-13,35.75,36.50,35.55,36.45,518854
12-Aug-13,34.99,35.66,34.73,35.65,140682
9-Aug-13,35.92,35.96,35.22,35.26,147228
8-Aug-13,35.50,35.91,35.08,35.90,214370
7-Aug-13,35.68,35.83,35.22,35.32,134736
6-Aug-13,35.94,36.04,35.62,35.77,171609
5-Aug-13,35.95,36.29,35.79,36.00,246838
2-Aug-13,35.84,36.16,35.67,36.10,178187
1-Aug-13,35.97,36.19,35.68,35.97,252254
31-Jul-13,36.01,36.12,35.70,35.78,210908
30-Jul-13,36.13,36.18,35.74,36.01,224424
29-Jul-13,36.10,36.41,35.81,35.93,218445
26-Jul-13,36.28,36.51,36.10,36.39,236691
25-Jul-13,36.26,36.50,35.62,36.50,275405
24-Jul-13,36.52,36.90,36.19,36.40,161277
23-Jul-13,36.27,36.62,36.21,36.50,203479
22-Jul-13,36.22,36.44,36.08,36.09,145795
19-Jul-13,36.47,36.60,36.24,36.42,219610
18-Jul-13,36.56,36.70,36.21,36.70,248785
17-Jul-13,36.70,36.98,36.32,36.58,116815
16-Jul-13,36.69,37.04,36.49,36.79,434995
15-Jul-13,36.39,36.94,36.05,36.73,206578
12-Jul-13,36.35,36.87,36.20,36.42,164210
11-Jul-13,36.32,36.44,36.05,36.39,259145
10-Jul-13,36.21,36.31,35.56,36.02,235313
9-Jul-13,36.11,36.57,35.83,36.34,332695
8-Jul-13,35.49,36.07,35.32,36.03,239928
