Date,Open,High,Low,Close,Volume
27-Dec-13,10.55,10.55,10.55,10.55,300
26-Dec-13,10.81,11.08,10.81,11.08,4442
23-Dec-13,10.82,10.82,10.82,10.82,229
19-Dec-13,10.81,10.81,10.81,10.81,506
17-Dec-13,10.93,11.12,10.93,11.12,2055
16-Dec-13,10.95,11.15,10.95,11.15,2029
13-Dec-13,11.08,11.18,11.08,11.18,1000
12-Dec-13,11.00,11.00,11.00,11.00,300
11-Dec-13,11.05,11.20,10.56,10.56,2876
10-Dec-13,11.00,11.20,11.00,11.20,2300
9-Dec-13,11.00,11.00,11.00,11.00,322
6-Dec-13,11.00,11.00,11.00,11.00,500
4-Dec-13,10.97,11.04,10.97,11.04,400
3-Dec-13,10.87,11.02,10.87,11.00,301
2-Dec-13,11.00,11.00,11.00,11.00,200
26-Nov-13,11.00,11.00,11.00,11.00,300
22-Nov-13,11.35,11.35,11.35,11.35,300
21-Nov-13,11.00,11.39,11.00,11.37,800
20-Nov-13,10.57,11.24,10.56,11.24,1874
18-Nov-13,11.30,11.30,11.30,11.30,100
15-Nov-13,10.82,10.82,10.82,10.82,300
14-Nov-13,10.56,11.00,10.56,11.00,1132
13-Nov-13,11.00,11.00,10.72,10.72,200
12-Nov-13,11.05,11.05,11.05,11.05,100
11-Nov-13,11.00,11.00,10.70,10.70,200
7-Nov-13,11.26,11.40,11.26,11.40,1100
5-Nov-13,11.50,11.50,11.50,11.50,300
4-Nov-13,11.50,11.50,11.50,11.50,300
31-Oct-13,11.00,11.46,11.00,11.46,2300
30-Oct-13,11.40,11.40,11.35,11.35,887
29-Oct-13,10.75,11.35,10.75,11.35,1430
28-Oct-13,10.71,10.71,10.71,10.71,100
25-Oct-13,10.66,10.69,10.53,10.53,900
24-Oct-13,10.93,10.93,10.51,10.57,1200
23-Oct-13,10.63,10.91,10.56,10.66,900
22-Oct-13,11.39,11.39,10.32,10.43,3500
21-Oct-13,10.63,11.40,10.29,10.58,3200
18-Oct-13,10.63,10.63,10.63,10.63,100
17-Oct-13,10.30,10.30,10.30,10.30,100
16-Oct-13,9.92,9.92,9.92,9.92,100
14-Oct-13,10.10,10.18,10.10,10.12,2400
11-Oct-13,10.13,10.15,10.13,10.15,432
10-Oct-13,10.09,10.09,10.09,10.09,185
9-Oct-13,10.01,10.20,9.85,10.11,4519
8-Oct-13,9.97,10.07,9.58,9.58,3287
7-Oct-13,9.97,10.04,9.97,10.00,2229
4-Oct-13,10.01,10.19,10.01,10.15,500
3-Oct-13,10.10,10.13,10.03,10.03,1319
2-Oct-13,10.24,10.25,10.01,10.01,822
1-Oct-13,10.14,10.26,10.02,10.26,1301
30-Sep-13,10.26,10.26,10.26,10.26,150
27-Sep-13,10.16,10.16,10.16,10.16,340
26-Sep-13,10.35,10.35,10.01,10.02,1509
25-Sep-13,10.29,10.29,10.29,10.29,100
24-Sep-13,10.27,10.40,10.10,10.30,1987
23-Sep-13,10.49,10.55,10.02,10.35,800
20-Sep-13,10.50,10.75,10.50,10.75,5100
19-Sep-13,10.49,10.50,10.40,10.50,1000
18-Sep-13,10.02,10.02,10.02,10.02,200
17-Sep-13,10.28,10.34,10.25,10.34,600
16-Sep-13,10.36,10.36,10.36,10.36,125
12-Sep-13,10.30,10.30,10.30,10.30,800
11-Sep-13,10.24,10.26,10.23,10.24,3012
10-Sep-13,10.22,10.23,10.08,10.23,2179
9-Sep-13,10.02,10.22,9.96,9.96,556
6-Sep-13,10.02,10.22,9.98,10.22,400
5-Sep-13,10.03,10.03,9.92,10.00,2783
4-Sep-13,10.25,10.25,10.23,10.25,2482
3-Sep-13,9.94,10.02,9.94,10.00,600
30-Aug-13,10.50,10.50,10.04,10.45,1100
28-Aug-13,9.91,10.16,9.91,10.06,1093
27-Aug-13,10.72,10.74,10.72,10.74,335
26-Aug-13,10.40,10.75,10.40,10.75,300
23-Aug-13,10.94,10.94,10.94,10.94,202
22-Aug-13,10.99,10.99,10.04,10.98,738
21-Aug-13,10.94,10.94,10.94,10.94,255
20-Aug-13,10.94,11.20,10.94,10.94,1800
19-Aug-13,11.18,11.18,11.18,11.18,100
15-Aug-13,10.96,11.35,10.95,11.17,1200
14-Aug-13,10.94,10.94,10.94,10.94,198
12-Aug-13,11.00,11.24,11.00,11.21,1350
9-Aug-13,11.37,11.37,10.97,11.00,1317
8-Aug-13,11.68,11.68,11.00,11.00,684
7-Aug-13,11.35,11.40,10.73,10.73,6100
