Date,Open,High,Low,Close,Volume
31-Dec-13,7.49,7.55,7.43,7.46,64337
30-Dec-13,7.44,7.54,7.44,7.46,41571
27-Dec-13,7.52,7.53,7.43,7.48,42639
26-Dec-13,7.48,7.50,7.45,7.49,37849
24-Dec-13,7.44,7.50,7.43,7.47,20998
23-Dec-13,7.40,7.49,7.40,7.48,32187
20-Dec-13,7.37,7.40,7.35,7.40,154164
19-Dec-13,7.40,7.40,7.33,7.34,33490
18-Dec-13,7.35,7.40,7.34,7.40,44143
17-Dec-13,7.35,7.38,7.35,7.36,38648
16-Dec-13,7.36,7.40,7.31,7.32,47487
13-Dec-13,7.27,7.39,7.27,7.35,40831
12-Dec-13,7.25,7.36,7.24,7.26,67519
11-Dec-13,7.25,7.30,7.25,7.26,32568
10-Dec-13,7.33,7.37,7.19,7.23,60419
9-Dec-13,7.37,7.37,7.28,7.32,52744
6-Dec-13,7.38,7.39,7.28,7.35,108118
5-Dec-13,7.28,7.33,7.26,7.31,82115
4-Dec-13,7.30,7.35,7.26,7.29,97069
3-Dec-13,7.25,7.30,7.24,7.26,59749
2-Dec-13,7.37,7.37,7.26,7.26,33952
29-Nov-13,7.34,7.40,7.30,7.39,33054
27-Nov-13,7.19,7.33,7.14,7.31,83942
26-Nov-13,7.31,7.35,7.13,7.14,377733
25-Nov-13,7.32,7.38,7.27,7.30,41771
22-Nov-13,7.32,7.38,7.22,7.29,37793
21-Nov-13,7.35,7.39,7.26,7.31,40773
20-Nov-13,7.31,7.35,7.26,7.30,17912
19-Nov-13,7.19,7.34,7.19,7.28,27513
18-Nov-13,7.23,7.28,7.19,7.20,31395
15-Nov-13,7.21,7.28,7.21,7.23,28866
14-Nov-13,7.30,7.30,7.20,7.23,16635
13-Nov-13,7.23,7.30,7.17,7.27,22038
12-Nov-13,7.30,7.36,7.22,7.26,24870
11-Nov-13,7.35,7.37,7.26,7.30,223621
8-Nov-13,7.20,7.39,7.20,7.36,44250
7-Nov-13,7.25,7.27,7.17,7.21,35741
6-Nov-13,7.21,7.33,7.16,7.24,20155
5-Nov-13,7.22,7.24,7.17,7.17,31342
4-Nov-13,7.22,7.31,7.13,7.22,37669
1-Nov-13,7.19,7.31,7.15,7.25,59126
31-Oct-13,7.34,7.37,7.21,7.21,32057
30-Oct-13,7.43,7.48,7.33,7.37,21725
29-Oct-13,7.50,7.50,7.41,7.47,19731
28-Oct-13,7.45,7.50,7.45,7.50,79790
25-Oct-13,7.47,7.48,7.36,7.46,16699
24-Oct-13,7.42,7.48,7.40,7.45,24460
23-Oct-13,7.35,7.47,7.34,7.44,37262
22-Oct-13,7.42,7.45,7.29,7.39,29072
21-Oct-13,7.41,7.47,7.39,7.40,21539
18-Oct-13,7.44,7.46,7.37,7.42,66775
17-Oct-13,7.33,7.43,7.32,7.43,40066
16-Oct-13,7.32,7.36,7.30,7.33,36164
15-Oct-13,7.30,7.33,7.26,7.32,47778
14-Oct-13,7.27,7.33,7.25,7.33,55475
11-Oct-13,7.23,7.30,7.20,7.30,21722
10-Oct-13,7.19,7.27,7.19,7.22,35330
9-Oct-13,7.04,7.21,7.01,7.13,45301
8-Oct-13,6.98,7.04,6.94,7.00,46811
7-Oct-13,6.95,7.10,6.95,7.00,50211
4-Oct-13,7.02,7.05,6.98,7.00,5874
3-Oct-13,7.00,7.05,6.94,7.03,25333
2-Oct-13,7.00,7.08,7.00,7.00,44764
1-Oct-13,7.07,7.10,6.99,7.03,302266
30-Sep-13,7.29,7.29,7.05,7.06,119642
27-Sep-13,7.27,7.34,7.27,7.30,11121
26-Sep-13,7.31,7.40,7.23,7.32,48076
25-Sep-13,7.20,7.35,7.17,7.30,69006
24-Sep-13,7.17,7.28,7.15,7.23,31754
23-Sep-13,7.14,7.24,7.10,7.21,29247
20-Sep-13,7.04,7.16,7.02,7.15,60441
