Date,Open,High,Low,Close,Volume
31-Dec-13,100.00,100.00,100.00,100.00,74
30-Dec-13,90.00,90.00,90.00,90.00,15
27-Dec-13,95.00,95.00,90.00,90.00,13
26-Dec-13,100.00,100.00,100.00,100.00,6
24-Dec-13,90.00,100.00,90.00,100.00,214
20-Dec-13,82.50,100.00,82.50,100.00,434
19-Dec-13,77.50,87.50,77.50,87.50,61
18-Dec-13,65.00,65.50,65.00,65.50,41
17-Dec-13,60.00,75.00,60.00,75.00,115
16-Dec-13,80.00,82.50,80.00,82.50,77
12-Dec-13,87.50,87.50,87.50,87.50,2
10-Dec-13,87.50,87.50,87.50,87.50,9
3-Dec-13,85.00,87.50,85.00,85.00,15
27-Nov-13,100.00,100.00,100.00,100.00,6
26-Nov-13,100.00,100.00,85.00,100.00,85
25-Nov-13,75.50,175.00,75.50,175.00,31
14-Nov-13,100.00,100.00,100.00,100.00,19
8-Nov-13,82.50,100.00,82.50,100.00,214
6-Nov-13,100.00,100.00,100.00,100.00,2
5-Nov-13,125.00,125.00,125.00,125.00,10
4-Nov-13,100.00,100.00,100.00,100.00,6
31-Oct-13,82.50,82.50,82.50,82.50,9
30-Oct-13,82.50,82.50,82.50,82.50,15
28-Oct-13,87.50,87.50,87.50,87.50,3
24-Oct-13,97.50,97.50,87.50,90.00,79
23-Oct-13,110.00,110.00,96.00,96.00,39
22-Oct-13,110.00,110.00,110.00,110.00,2
18-Oct-13,110.00,110.00,110.00,110.00,6
17-Oct-13,115.50,120.00,83.00,115.00,41
16-Oct-13,92.50,115.50,92.50,115.50,26
15-Oct-13,85.00,85.00,85.00,85.00,22
8-Oct-13,87.50,100.00,87.50,100.00,16
7-Oct-13,92.50,92.50,92.50,92.50,210
30-Sep-13,98.00,98.00,98.00,98.00,4
27-Sep-13,87.50,87.50,87.50,87.50,8
24-Sep-13,100.00,100.00,100.00,100.00,12
19-Sep-13,85.00,100.00,82.50,100.00,170
17-Sep-13,104.00,104.00,100.00,102.50,426
16-Sep-13,102.50,102.50,102.50,102.50,5
13-Sep-13,102.50,102.50,102.50,102.50,10
11-Sep-13,100.00,100.00,100.00,100.00,18
10-Sep-13,100.00,110.00,100.00,100.00,52
9-Sep-13,125.00,125.00,112.50,112.50,35
3-Sep-13,125.00,125.00,125.00,125.00,2
27-Aug-13,1.75,1.75,1.75,1.75,148
26-Aug-13,1.75,1.75,1.75,1.75,30
23-Aug-13,1.50,1.50,1.50,1.50,20
22-Aug-13,1.50,1.50,1.50,1.50,20
19-Aug-13,2.00,2.00,1.75,1.75,700
16-Aug-13,2.00,2.00,2.00,2.00,50
15-Aug-13,2.00,2.00,2.00,2.00,200
14-Aug-13,2.00,2.00,2.00,2.00,400
12-Aug-13,2.00,2.00,2.00,2.00,200
9-Aug-13,1.90,1.90,1.90,1.90,200
8-Aug-13,1.50,2.00,1.50,1.85,330
7-Aug-13,1.80,1.80,1.80,1.80,106
6-Aug-13,1.75,1.75,1.75,1.75,10
5-Aug-13,1.85,1.85,1.85,1.85,100
30-Jul-13,1.80,1.80,1.80,1.80,200
25-Jul-13,1.75,1.75,1.75,1.75,98
24-Jul-13,1.92,1.92,1.50,1.50,4461
18-Jul-13,1.90,1.90,1.90,1.90,23
17-Jul-13,1.90,1.90,1.90,1.90,640
16-Jul-13,1.90,1.90,1.90,1.90,310
12-Jul-13,1.90,1.90,1.90,1.90,260
11-Jul-13,1.90,1.90,1.90,1.90,13
9-Jul-13,1.80,1.80,1.80,1.80,29
26-Jun-13,1.80,2.00,1.80,2.00,328
20-Jun-13,1.78,1.78,1.78,1.78,53
18-Jun-13,1.78,1.78,1.78,1.78,80
6-Jun-13,2.00,2.00,2.00,2.00,240
30-May-13,2.05,2.05,2.05,2.05,20
23-May-13,2.00,2.00,2.00,2.00,6
21-May-13,3.00,3.00,3.00,3.00,50
20-May-13,2.88,2.88,1.75,1.75,874
17-May-13,2.88,2.88,2.88,2.88,40
16-May-13,2.88,2.88,2.88,2.88,346
15-May-13,1.90,1.90,1.90,1.90,332
13-May-13,1.90,1.90,1.90,1.90,6
10-May-13,2.25,2.50,1.90,1.90,652
9-May-13,1.65,2.44,1.65,2.43,805
3-May-13,1.50,1.50,1.50,1.50,8
2-May-13,1.88,1.88,1.88,1.88,52
30-Apr-13,1.98,1.98,1.98,1.98,106
25-Apr-13,1.88,1.88,1.88,1.88,60
24-Apr-13,1.88,1.88,1.88,1.88,14
23-Apr-13,1.88,1.88,1.88,1.88,50
18-Apr-13,1.88,1.88,1.88,1.88,340
11-Apr-13,1.75,1.75,1.75,1.75,28
9-Apr-13,2.10,2.10,2.00,2.00,2058
8-Apr-13,2.50,2.50,2.50,2.50,40
5-Apr-13,2.70,2.70,2.20,2.20,1294
3-Apr-13,2.75,2.75,2.75,2.75,5135
2-Apr-13,2.75,2.80,2.75,2.75,258
1-Apr-13,2.80,2.80,2.80,2.80,40
28-Mar-13,2.75,2.75,2.75,2.75,196
27-Mar-13,2.88,2.88,2.88,2.88,32
26-Mar-13,2.75,2.75,2.75,2.75,228
25-Mar-13,2.75,2.75,2.75,2.75,404
22-Mar-13,2.88,2.88,2.88,2.88,268
21-Mar-13,2.75,2.75,2.75,2.75,1100
20-Mar-13,2.88,2.88,2.88,2.88,200
19-Mar-13,2.75,2.75,2.75,2.75,400
15-Mar-13,2.75,3.00,2.75,2.75,1112
14-Mar-13,2.75,3.00,2.50,2.75,6693
13-Mar-13,2.50,2.74,2.50,2.74,330
11-Mar-13,2.49,2.50,2.49,2.50,1500
8-Mar-13,2.49,2.49,2.49,2.49,90
7-Mar-13,2.00,2.49,2.00,2.49,280
6-Mar-13,2.49,2.49,2.00,2.00,2224
5-Mar-13,2.50,2.50,2.05,2.06,3093
1-Mar-13,2.40,2.40,2.40,2.40,1805
26-Feb-13,2.06,2.40,2.06,2.40,142
25-Feb-13,3.35,3.50,2.00,3.50,2060
22-Feb-13,3.49,3.49,3.25,3.35,620
21-Feb-13,3.25,3.25,3.25,3.25,313
20-Feb-13,2.90,2.90,2.90,2.90,460
19-Feb-13,2.30,3.00,2.30,2.90,1867
13-Feb-13,3.00,3.00,3.00,3.00,200
11-Feb-13,3.75,3.75,3.50,3.50,240
7-Feb-13,2.75,2.75,2.75,2.75,20
6-Feb-13,2.50,2.75,2.50,2.75,408
5-Feb-13,3.50,4.40,3.00,3.00,2061
4-Feb-13,2.50,3.25,2.50,3.25,1582
31-Jan-13,2.30,2.30,2.30,2.30,40
30-Jan-13,2.30,2.30,2.30,2.30,30
28-Jan-13,2.50,2.50,2.50,2.50,961
25-Jan-13,2.50,2.50,2.50,2.50,200
24-Jan-13,2.50,2.50,2.50,2.50,2
23-Jan-13,2.00,2.75,2.00,2.50,3917
18-Jan-13,2.10,2.10,1.75,1.75,466
17-Jan-13,1.75,2.10,1.75,2.10,600
16-Jan-13,1.90,1.90,1.90,1.90,206
14-Jan-13,2.12,2.12,1.65,2.12,230
11-Jan-13,2.12,2.12,2.12,2.12,14
10-Jan-13,2.10,2.12,2.10,2.12,848
9-Jan-13,2.25,2.25,2.10,2.10,600
8-Jan-13,1.50,4.50,1.25,2.25,7008
7-Jan-13,1.25,1.25,0.92,0.92,1140
31-Dec-12,1.25,1.25,1.05,1.25,4833
28-Dec-12,1.25,1.30,1.25,1.25,3464
27-Dec-12,1.25,1.25,1.25,1.25,644
26-Dec-12,1.30,1.60,1.25,1.25,1804
24-Dec-12,1.30,1.30,1.30,1.30,933
21-Dec-12,1.30,1.30,1.30,1.30,3796
20-Dec-12,1.30,1.50,1.30,1.30,6110
19-Dec-12,1.35,1.35,1.35,1.35,562
18-Dec-12,1.35,1.35,1.35,1.35,40
14-Dec-12,1.30,1.30,1.30,1.30,200
