Date,Open,High,Low,Close,Volume
31-Dec-13,10.99,11.04,10.90,10.93,400469
30-Dec-13,11.08,11.14,10.92,10.93,292148
27-Dec-13,11.17,11.19,11.02,11.05,220556
26-Dec-13,11.19,11.24,11.08,11.09,235080
24-Dec-13,11.15,11.23,11.05,11.13,213178
23-Dec-13,10.75,11.10,10.70,11.10,705887
20-Dec-13,10.67,10.74,10.52,10.70,2277195
19-Dec-13,10.64,10.78,10.52,10.62,421150
18-Dec-13,10.54,10.70,10.45,10.68,563970
17-Dec-13,10.72,10.73,10.32,10.53,499503
16-Dec-13,10.37,10.78,10.35,10.69,486363
13-Dec-13,10.35,10.42,10.12,10.35,375728
12-Dec-13,10.18,10.46,10.16,10.30,327423
11-Dec-13,10.32,10.38,10.19,10.20,270605
10-Dec-13,10.36,10.56,10.26,10.33,400662
9-Dec-13,10.42,10.48,10.25,10.37,332474
6-Dec-13,10.28,10.60,10.21,10.44,525775
5-Dec-13,10.20,10.34,10.11,10.16,340454
4-Dec-13,10.27,10.37,10.12,10.23,513862
3-Dec-13,10.41,10.52,10.21,10.29,396165
2-Dec-13,10.55,10.60,10.44,10.45,395265
29-Nov-13,10.52,10.69,10.47,10.57,252576
27-Nov-13,10.38,10.59,10.25,10.45,611932
26-Nov-13,9.99,10.42,9.99,10.34,502035
25-Nov-13,9.88,10.18,9.81,9.95,456561
22-Nov-13,9.76,9.97,9.69,9.89,400004
21-Nov-13,9.42,9.74,9.40,9.71,696918
20-Nov-13,9.33,9.47,9.23,9.40,588122
19-Nov-13,9.29,9.43,9.18,9.32,856199
18-Nov-13,8.86,9.26,8.85,9.26,974476
15-Nov-13,8.84,8.86,8.67,8.84,359664
14-Nov-13,8.71,8.93,8.60,8.85,330441
13-Nov-13,8.57,8.74,8.52,8.72,194446
12-Nov-13,8.83,8.83,8.57,8.60,235497
11-Nov-13,8.95,8.99,8.84,8.85,201151
8-Nov-13,8.52,8.99,8.44,8.97,688351
7-Nov-13,8.51,8.51,8.23,8.27,369481
6-Nov-13,8.45,8.51,8.28,8.50,240427
5-Nov-13,8.40,8.44,8.30,8.40,239795
4-Nov-13,8.36,8.47,8.26,8.42,361941
1-Nov-13,8.45,8.50,8.29,8.31,416875
31-Oct-13,8.65,8.65,8.45,8.47,338124
30-Oct-13,8.78,8.82,8.65,8.67,245094
29-Oct-13,8.77,8.85,8.66,8.75,259909
28-Oct-13,8.73,8.82,8.66,8.79,215909
25-Oct-13,8.78,8.84,8.76,8.77,295614
24-Oct-13,8.80,8.80,8.66,8.75,285379
23-Oct-13,8.72,8.82,8.66,8.80,295983
22-Oct-13,8.67,8.82,8.63,8.76,448180
21-Oct-13,8.68,8.76,8.64,8.65,394880
18-Oct-13,8.69,8.69,8.56,8.68,297978
17-Oct-13,8.68,8.68,8.51,8.62,405806
16-Oct-13,8.51,8.73,8.48,8.67,299164
15-Oct-13,8.56,8.61,8.43,8.48,340307
14-Oct-13,8.57,8.63,8.40,8.60,348618
11-Oct-13,8.35,8.64,8.28,8.64,444742
10-Oct-13,8.34,8.40,8.24,8.39,359726
9-Oct-13,8.14,8.44,8.12,8.27,467473
8-Oct-13,8.29,8.31,8.11,8.13,418849
7-Oct-13,8.30,8.35,8.22,8.26,364077
4-Oct-13,8.22,8.38,8.20,8.35,238966
3-Oct-13,8.25,8.31,8.12,8.24,232776
2-Oct-13,8.41,8.41,8.23,8.26,240153
1-Oct-13,8.16,8.45,8.16,8.45,380943
30-Sep-13,8.16,8.25,8.04,8.17,383281
27-Sep-13,8.18,8.37,8.14,8.21,266581
26-Sep-13,8.35,8.40,8.20,8.23,274500
25-Sep-13,8.32,8.48,8.31,8.33,286494
24-Sep-13,8.38,8.50,8.28,8.33,456088
23-Sep-13,8.33,8.48,8.28,8.41,625172
20-Sep-13,8.26,8.51,8.21,8.28,3469526
19-Sep-13,8.53,8.53,8.17,8.24,497267
18-Sep-13,8.54,8.67,8.41,8.52,307421
17-Sep-13,8.49,8.55,8.41,8.52,312509
16-Sep-13,8.50,8.59,8.33,8.49,278629
13-Sep-13,8.39,8.48,8.26,8.45,345752
12-Sep-13,8.32,8.37,8.21,8.36,231053
11-Sep-13,8.41,8.46,8.22,8.31,337798
10-Sep-13,8.33,8.43,8.13,8.43,383102
9-Sep-13,8.25,8.38,8.18,8.30,281336
6-Sep-13,8.30,8.33,8.01,8.24,275206
5-Sep-13,8.01,8.30,8.01,8.27,378826
4-Sep-13,8.20,8.30,7.98,7.99,524743
3-Sep-13,8.22,8.44,8.15,8.21,342869
30-Aug-13,8.31,8.37,8.12,8.13,354603
29-Aug-13,8.26,8.38,8.24,8.33,225811
28-Aug-13,8.34,8.43,8.22,8.27,283222
27-Aug-13,8.52,8.63,8.30,8.32,457570
26-Aug-13,8.72,8.81,8.58,8.65,320930
23-Aug-13,8.82,8.85,8.66,8.72,325445
22-Aug-13,8.80,8.87,8.71,8.82,831975
21-Aug-13,8.79,8.87,8.70,8.77,339026
20-Aug-13,8.60,8.86,8.57,8.82,717264
19-Aug-13,8.88,8.88,8.56,8.60,423890
16-Aug-13,8.68,8.93,8.68,8.85,289811
15-Aug-13,8.81,8.93,8.68,8.73,315923
14-Aug-13,8.92,9.00,8.83,8.91,309982
13-Aug-13,8.87,8.93,8.71,8.92,283821
12-Aug-13,8.74,8.85,8.67,8.84,475240
9-Aug-13,8.88,8.96,8.68,8.74,294837
8-Aug-13,8.84,8.92,8.74,8.88,305393
7-Aug-13,8.97,9.05,8.62,8.76,568180
6-Aug-13,8.88,9.00,8.81,8.97,379211
5-Aug-13,8.88,8.88,8.76,8.87,353797
2-Aug-13,8.82,8.91,8.79,8.86,403909
1-Aug-13,8.85,8.90,8.76,8.88,479488
31-Jul-13,8.71,8.85,8.64,8.79,529684
30-Jul-13,8.65,8.73,8.64,8.67,493365
29-Jul-13,8.74,8.76,8.59,8.64,415380
26-Jul-13,8.71,8.82,8.64,8.73,361074
25-Jul-13,8.43,8.75,8.41,8.72,583590
24-Jul-13,8.21,8.44,8.19,8.42,429445
