Date,Open,High,Low,Close,Volume
31-Dec-13,5.22,5.45,5.16,5.31,82167
30-Dec-13,4.95,5.26,4.91,5.15,27563
27-Dec-13,5.44,5.44,4.71,4.91,123804
26-Dec-13,5.56,6.24,5.25,5.33,147285
24-Dec-13,5.08,5.59,5.08,5.50,103449
23-Dec-13,4.70,5.15,4.70,5.08,82602
20-Dec-13,4.39,4.80,4.39,4.64,80666
19-Dec-13,4.18,4.47,4.17,4.32,123995
18-Dec-13,4.25,4.27,4.16,4.19,47614
17-Dec-13,4.30,4.30,4.12,4.18,57795
16-Dec-13,4.33,4.39,4.16,4.20,76917
13-Dec-13,4.17,4.34,4.08,4.25,253158
12-Dec-13,3.91,4.25,3.91,3.94,175540
11-Dec-13,3.90,4.15,3.87,3.94,189168
10-Dec-13,3.79,3.80,3.70,3.70,11300
9-Dec-13,3.72,3.83,3.72,3.77,2123
6-Dec-13,3.79,3.79,3.74,3.76,900
5-Dec-13,3.74,3.74,3.74,3.74,828
4-Dec-13,3.81,3.81,3.72,3.73,7200
3-Dec-13,3.62,3.83,3.62,3.83,40371
2-Dec-13,3.75,3.75,3.65,3.74,7876
29-Nov-13,3.65,3.78,3.65,3.78,1000
27-Nov-13,3.78,3.79,3.65,3.66,24958
26-Nov-13,3.72,3.80,3.67,3.74,14923
25-Nov-13,3.70,3.73,3.62,3.68,30417
22-Nov-13,3.79,3.80,3.73,3.79,5813
21-Nov-13,3.70,3.80,3.70,3.80,9901
20-Nov-13,3.61,3.70,3.61,3.70,3520
19-Nov-13,3.79,3.80,3.70,3.70,3317
18-Nov-13,3.65,3.82,3.65,3.81,17000
15-Nov-13,3.63,3.82,3.61,3.73,6062
14-Nov-13,3.60,3.72,3.60,3.67,22059
13-Nov-13,3.60,3.67,3.54,3.67,4000
12-Nov-13,3.55,3.60,3.53,3.60,7573
11-Nov-13,3.60,3.60,3.46,3.53,23769
8-Nov-13,3.65,3.90,3.58,3.65,42283
7-Nov-13,3.65,3.90,3.65,3.89,25270
6-Nov-13,3.65,3.65,3.63,3.65,4796
5-Nov-13,3.68,3.68,3.62,3.65,15079
