Date,Open,High,Low,Close,Volume
31-Dec-13,44.88,53.24,44.00,50.16,256410
30-Dec-13,48.40,49.28,41.80,43.34,303718
27-Dec-13,63.58,74.80,51.26,55.66,1501508
26-Dec-13,35.20,35.62,32.12,33.22,44620
24-Dec-13,34.98,36.08,34.76,34.98,13286
23-Dec-13,36.52,36.52,34.10,35.42,38802
20-Dec-13,30.80,34.54,29.04,34.54,113260
19-Dec-13,39.16,41.80,35.42,37.40,142233
18-Dec-13,36.06,68.64,33.44,36.06,557796
17-Dec-13,62.70,69.74,61.60,68.86,139325
16-Dec-13,61.60,65.56,59.40,64.02,7489
13-Dec-13,66.00,74.58,66.00,70.40,16058
12-Dec-13,61.60,71.06,61.60,65.56,4385
11-Dec-13,63.36,63.36,60.28,61.16,1950
10-Dec-13,62.92,65.34,59.62,64.02,1728
9-Dec-13,71.72,71.72,59.18,60.28,5692
6-Dec-13,72.16,73.48,65.34,69.52,11792
5-Dec-13,61.60,108.90,58.52,71.28,60842
4-Dec-13,62.70,67.10,58.30,61.82,5088
3-Dec-13,66.88,66.88,60.50,64.68,1488
2-Dec-13,61.16,67.10,59.62,62.70,3755
29-Nov-13,67.10,73.04,55.44,57.20,3824
27-Nov-13,51.04,75.68,51.04,64.68,15136
26-Nov-13,52.14,52.14,51.70,51.92,427
25-Nov-13,52.58,53.02,51.70,52.56,37
22-Nov-13,50.16,54.12,49.50,52.58,1366
21-Nov-13,48.84,51.90,48.84,49.28,373
20-Nov-13,49.28,49.50,48.40,48.40,185
19-Nov-13,48.84,48.84,47.10,47.76,414
18-Nov-13,46.86,49.50,45.98,48.62,1253
15-Nov-13,49.28,53.24,45.32,45.54,3131
14-Nov-13,46.86,47.74,43.56,45.10,809
13-Nov-13,46.42,47.90,45.54,46.42,625
12-Nov-13,45.76,49.28,45.32,48.84,856
11-Nov-13,46.20,46.64,44.66,45.10,229
8-Nov-13,44.44,47.08,44.44,46.20,239
7-Nov-13,48.18,48.18,44.88,45.10,523
6-Nov-13,45.32,46.64,41.36,44.44,1978
5-Nov-13,44.44,47.08,42.90,44.00,3727
4-Nov-13,47.08,47.08,42.90,42.90,159
1-Nov-13,44.00,45.74,43.78,43.80,798
31-Oct-13,44.00,44.00,41.20,44.00,703
30-Oct-13,48.18,48.18,43.56,44.00,2209
29-Oct-13,48.40,49.50,47.96,48.18,257
28-Oct-13,50.38,50.38,48.40,48.62,299
25-Oct-13,49.28,53.68,46.95,50.38,1480
24-Oct-13,50.38,50.38,44.22,49.06,1450
23-Oct-13,51.48,51.48,45.54,47.74,2619
22-Oct-13,53.90,55.44,49.28,51.04,2601
21-Oct-13,48.84,55.00,48.84,54.34,1769
18-Oct-13,57.31,57.31,48.40,49.50,1397
17-Oct-13,60.94,60.94,54.56,58.08,4038
16-Oct-13,37.62,62.70,37.62,58.96,15644
15-Oct-13,39.16,41.58,37.62,37.84,1755
14-Oct-13,42.90,43.78,38.50,39.60,2228
11-Oct-13,47.52,47.74,43.12,43.78,1302
10-Oct-13,51.04,51.04,44.02,45.76,4234
9-Oct-13,52.36,53.68,50.82,50.82,225
8-Oct-13,56.10,56.12,50.60,51.50,1359
7-Oct-13,57.20,58.30,56.12,56.98,818
4-Oct-13,59.18,60.28,56.98,57.86,1440
3-Oct-13,57.42,62.92,56.98,58.52,251
2-Oct-13,62.04,66.00,57.20,58.30,2070
