Date,Open,High,Low,Close,Volume
31-Dec-13,32.09,32.29,31.93,32.00,40229
30-Dec-13,32.11,32.29,31.95,32.04,18448
27-Dec-13,32.49,32.58,32.03,32.17,64186
26-Dec-13,32.16,32.47,31.74,32.37,40291
24-Dec-13,31.22,32.18,31.22,31.93,41023
23-Dec-13,31.87,32.32,31.70,32.17,41824
20-Dec-13,30.87,31.87,29.80,31.64,202697
19-Dec-13,30.94,31.20,30.33,30.92,40239
18-Dec-13,30.65,31.16,30.18,31.03,58369
17-Dec-13,30.72,30.72,30.25,30.52,40722
16-Dec-13,30.28,30.75,30.28,30.64,59037
13-Dec-13,30.32,30.50,29.96,30.21,38908
12-Dec-13,29.94,30.43,29.83,30.18,71293
11-Dec-13,30.35,30.75,29.72,29.95,82125
10-Dec-13,30.85,30.98,30.34,30.41,69003
9-Dec-13,31.22,31.30,30.66,30.87,62889
6-Dec-13,31.15,31.48,31.02,31.20,73202
5-Dec-13,30.76,30.95,30.50,30.80,33803
4-Dec-13,30.90,31.47,30.62,30.81,240009
3-Dec-13,31.00,31.28,30.60,31.01,138474
2-Dec-13,31.52,31.62,30.71,31.05,54493
29-Nov-13,31.64,31.75,31.29,31.50,17365
27-Nov-13,31.26,31.75,31.25,31.42,42741
26-Nov-13,30.82,31.41,30.51,31.15,48544
25-Nov-13,30.23,31.00,30.20,30.87,44250
22-Nov-13,29.78,30.43,29.28,30.20,37823
21-Nov-13,29.18,29.91,29.05,29.69,74225
20-Nov-13,28.99,29.05,28.76,29.01,40234
19-Nov-13,29.11,29.24,28.60,28.83,45190
18-Nov-13,29.16,29.35,28.94,29.01,38963
15-Nov-13,29.21,29.25,28.73,29.13,49837
14-Nov-13,29.29,29.51,29.14,29.26,53240
13-Nov-13,29.02,29.21,28.61,29.19,39202
12-Nov-13,28.97,29.49,28.80,29.12,57361
11-Nov-13,29.72,29.72,28.86,28.98,97724
8-Nov-13,28.69,30.21,28.00,29.68,76087
7-Nov-13,29.10,29.24,28.67,28.71,35621
6-Nov-13,29.35,29.44,28.93,29.03,29072
