Date,Open,High,Low,Close,Volume
31-Dec-13,13.50,13.60,13.50,13.53,9529
30-Dec-13,13.75,13.75,13.52,13.52,2066
27-Dec-13,13.70,13.70,13.48,13.69,2116
26-Dec-13,13.40,13.80,13.40,13.64,12741
24-Dec-13,13.25,13.43,13.17,13.38,3921
23-Dec-13,12.97,13.25,12.97,13.25,9729
20-Dec-13,12.91,13.14,12.91,13.12,9556
19-Dec-13,13.07,13.13,12.95,13.13,5575
18-Dec-13,13.00,13.00,12.93,13.00,6223
17-Dec-13,12.85,13.00,12.85,12.99,14562
16-Dec-13,12.90,12.90,12.70,12.89,9519
13-Dec-13,12.98,12.99,12.90,12.98,3118
12-Dec-13,12.81,12.99,12.77,12.97,6857
11-Dec-13,13.04,13.15,12.95,13.10,8019
10-Dec-13,13.00,13.04,13.00,13.03,4390
9-Dec-13,13.04,13.04,13.00,13.03,3722
6-Dec-13,12.90,13.00,12.83,13.00,6210
5-Dec-13,13.03,13.03,12.92,12.92,1046
4-Dec-13,12.93,13.04,12.93,13.03,2017
3-Dec-13,12.85,13.04,12.84,13.02,7188
2-Dec-13,13.00,13.00,12.87,12.95,4762
29-Nov-13,13.06,13.07,13.00,13.07,2600
27-Nov-13,13.10,13.14,13.02,13.13,5145
26-Nov-13,13.00,13.17,13.00,13.16,5756
25-Nov-13,13.01,13.21,13.00,13.05,3988
22-Nov-13,13.20,13.20,13.06,13.06,1186
21-Nov-13,12.98,13.24,12.98,13.01,2027
20-Nov-13,13.00,13.03,12.73,13.03,4920
19-Nov-13,13.15,13.25,13.00,13.03,3352
18-Nov-13,13.35,13.35,13.12,13.13,6883
15-Nov-13,13.23,13.29,13.10,13.14,5671
14-Nov-13,13.32,13.36,12.95,13.29,3199
13-Nov-13,13.26,13.39,13.26,13.39,3785
12-Nov-13,13.34,13.39,13.27,13.28,1425
11-Nov-13,13.27,13.40,13.01,13.40,5733
8-Nov-13,13.40,13.40,13.16,13.40,6146
7-Nov-13,13.02,13.40,12.76,13.40,33032
6-Nov-13,13.48,13.48,12.87,13.27,5506
5-Nov-13,13.08,13.44,12.97,13.44,6123
4-Nov-13,12.85,13.34,12.84,13.13,14574
1-Nov-13,12.89,12.91,12.63,12.74,14708
31-Oct-13,13.28,13.28,13.00,13.10,12038
30-Oct-13,13.35,13.40,13.00,13.34,13073
29-Oct-13,13.48,13.55,13.32,13.40,15348
28-Oct-13,13.87,13.87,13.50,13.59,10378
25-Oct-13,14.00,14.00,13.57,13.88,18470
24-Oct-13,13.77,14.00,13.68,13.93,13960
23-Oct-13,13.77,14.00,13.61,13.70,8935
22-Oct-13,13.52,13.80,13.51,13.71,9225
21-Oct-13,13.40,13.80,13.40,13.66,7869
18-Oct-13,13.15,13.43,13.15,13.35,8032
17-Oct-13,12.94,13.14,12.85,13.10,10031
16-Oct-13,12.95,12.95,12.84,12.94,7284
15-Oct-13,12.86,12.95,12.86,12.95,4478
14-Oct-13,12.89,12.90,12.89,12.90,1452
11-Oct-13,12.86,12.92,12.78,12.91,4085
10-Oct-13,12.74,12.89,12.74,12.85,3488
9-Oct-13,12.76,12.81,12.62,12.74,4624
8-Oct-13,12.67,12.90,12.50,12.88,6322
7-Oct-13,12.85,12.93,12.68,12.86,9404
4-Oct-13,12.94,12.94,12.86,12.93,9176
3-Oct-13,12.85,12.90,12.85,12.90,3737
2-Oct-13,12.85,12.95,12.85,12.95,11363
1-Oct-13,12.88,12.91,12.88,12.91,371
30-Sep-13,12.87,12.95,12.85,12.95,7478
27-Sep-13,12.90,12.95,12.85,12.95,2007
26-Sep-13,12.95,12.95,12.92,12.94,2913
25-Sep-13,12.94,12.95,12.85,12.90,4269
24-Sep-13,12.88,12.95,12.84,12.85,4627
23-Sep-13,12.95,12.95,12.65,12.94,4100
20-Sep-13,12.92,12.94,12.67,12.92,4952
19-Sep-13,12.77,12.94,12.76,12.86,4059
18-Sep-13,12.85,12.93,12.62,12.83,5904
17-Sep-13,12.59,12.95,12.59,12.82,4284
16-Sep-13,12.80,12.95,12.80,12.80,3355
13-Sep-13,12.56,12.87,12.56,12.87,4088
12-Sep-13,12.94,12.94,12.66,12.66,2448
11-Sep-13,12.94,12.94,12.59,12.94,5770
10-Sep-13,12.93,12.94,12.80,12.94,8534
9-Sep-13,12.83,12.92,12.79,12.91,17112
6-Sep-13,12.77,12.84,12.65,12.80,6990
5-Sep-13,12.87,12.87,12.45,12.76,15042
4-Sep-13,12.85,12.93,12.80,12.80,3450
3-Sep-13,12.85,12.93,12.65,12.93,12353
30-Aug-13,12.72,12.82,12.68,12.71,1690
29-Aug-13,12.63,12.84,12.63,12.66,1351
28-Aug-13,12.81,12.81,12.74,12.74,2848
27-Aug-13,12.74,12.81,12.29,12.48,3503
26-Aug-13,12.65,12.85,12.65,12.70,6875
23-Aug-13,12.75,12.85,12.54,12.69,7672
22-Aug-13,12.50,12.70,12.49,12.70,8356
21-Aug-13,12.20,12.49,12.20,12.49,6708
20-Aug-13,12.20,12.42,12.20,12.29,1915
19-Aug-13,12.50,12.50,12.16,12.16,3744
16-Aug-13,12.44,12.61,12.26,12.50,9225
15-Aug-13,12.25,12.50,12.20,12.24,5930
14-Aug-13,12.40,12.70,12.25,12.25,3677
13-Aug-13,12.50,12.76,12.28,12.28,7462
12-Aug-13,12.21,12.49,12.21,12.40,7691
9-Aug-13,12.29,12.46,12.20,12.22,5080
8-Aug-13,12.43,12.47,12.14,12.14,5158
7-Aug-13,12.29,12.49,12.10,12.35,8542
6-Aug-13,12.67,12.75,12.24,12.24,14439
5-Aug-13,12.52,12.55,12.40,12.53,8445
2-Aug-13,12.29,12.55,12.06,12.55,11383
1-Aug-13,12.54,12.60,12.40,12.47,52561
31-Jul-13,12.46,12.72,12.40,12.49,13483
30-Jul-13,12.47,12.71,12.32,12.55,18096
29-Jul-13,12.10,12.48,11.83,12.48,16232
26-Jul-13,12.15,12.69,12.01,12.01,39228
25-Jul-13,11.60,11.63,11.47,11.55,9864
24-Jul-13,11.61,11.63,11.60,11.63,500
23-Jul-13,11.45,11.70,11.45,11.59,6615
22-Jul-13,11.65,11.69,11.44,11.44,8240
19-Jul-13,11.60,11.69,11.50,11.58,9376
18-Jul-13,11.62,11.69,11.55,11.59,3951
17-Jul-13,11.56,11.77,11.56,11.59,6232
16-Jul-13,11.55,11.72,11.55,11.60,3772
15-Jul-13,11.58,11.76,11.55,11.57,4986
12-Jul-13,11.57,11.57,11.55,11.55,400
11-Jul-13,11.61,11.74,11.61,11.68,3590
10-Jul-13,11.48,11.59,11.44,11.56,1169
9-Jul-13,11.34,11.53,11.34,11.43,5663
8-Jul-13,11.50,11.59,11.37,11.40,5411
5-Jul-13,11.57,11.60,11.51,11.54,3948
3-Jul-13,11.50,11.60,11.50,11.50,6232
2-Jul-13,11.53,11.60,11.53,11.59,3925
1-Jul-13,11.59,11.59,11.52,11.59,2500
28-Jun-13,11.43,11.60,11.40,11.58,3532
27-Jun-13,11.40,11.60,11.40,11.52,3320
26-Jun-13,11.52,11.52,11.37,11.49,2413
25-Jun-13,11.44,11.57,11.44,11.52,3803
24-Jun-13,11.20,11.42,11.20,11.35,5980
21-Jun-13,11.32,11.40,11.32,11.39,3714
20-Jun-13,11.31,11.41,11.31,11.39,1348
19-Jun-13,11.34,11.43,11.33,11.39,1166
18-Jun-13,11.56,11.57,11.25,11.30,10372
17-Jun-13,11.56,11.64,11.53,11.55,7255
14-Jun-13,11.64,11.64,11.54,11.60,750
13-Jun-13,11.51,11.70,11.51,11.54,1434
12-Jun-13,11.52,11.65,11.52,11.65,1332
11-Jun-13,11.75,11.88,11.51,11.51,6293
10-Jun-13,11.87,11.87,11.59,11.79,5257
7-Jun-13,11.80,11.91,11.75,11.91,5984
6-Jun-13,11.51,11.87,11.51,11.72,2328
5-Jun-13,11.50,11.72,11.50,11.66,5991
4-Jun-13,11.58,11.71,11.50,11.66,9436
3-Jun-13,11.50,11.74,11.42,11.60,12855
31-May-13,11.54,11.76,11.54,11.70,2551
30-May-13,11.59,11.68,11.55,11.66,3137
29-May-13,11.34,11.68,11.34,11.58,8038
28-May-13,11.60,11.80,11.44,11.48,7744
24-May-13,11.50,11.70,11.50,11.56,4191
23-May-13,11.52,11.65,11.33,11.52,18325
22-May-13,11.80,11.81,11.53,11.65,8800
21-May-13,11.74,12.00,11.74,11.80,3961
20-May-13,11.50,11.94,11.50,11.87,7290
17-May-13,11.63,12.00,11.52,11.52,5820
16-May-13,11.58,11.95,11.58,11.70,3736
15-May-13,11.95,12.00,11.55,11.62,8781
14-May-13,11.72,11.99,11.72,11.90,3581
13-May-13,11.68,11.75,11.38,11.71,3933
10-May-13,11.70,11.94,11.65,11.84,3900
9-May-13,11.94,11.96,11.52,11.82,10135
8-May-13,12.06,12.14,11.16,11.95,7267
7-May-13,11.88,12.12,11.07,12.01,9895
6-May-13,12.15,12.15,11.59,11.94,2541
3-May-13,12.13,12.20,12.09,12.14,10956
2-May-13,12.00,12.20,12.00,12.17,5215
1-May-13,11.98,12.10,11.94,11.96,2432
30-Apr-13,12.20,12.20,11.98,11.99,10544
29-Apr-13,11.99,12.20,11.99,12.18,11038
26-Apr-13,11.71,12.04,11.63,12.04,10420
25-Apr-13,11.84,12.13,11.60,11.86,13207
24-Apr-13,11.55,11.88,11.41,11.71,10176
23-Apr-13,11.26,11.71,11.26,11.58,12428
22-Apr-13,11.05,11.48,11.05,11.39,6061
19-Apr-13,11.00,11.17,11.00,11.17,1906
18-Apr-13,11.12,11.17,10.87,11.13,5872
17-Apr-13,11.19,11.20,10.99,11.17,5279
16-Apr-13,11.16,11.28,10.69,11.22,26313
15-Apr-13,11.74,11.74,11.25,11.36,5304
12-Apr-13,11.84,11.91,11.32,11.70,4464
11-Apr-13,11.83,11.92,11.80,11.83,4403
10-Apr-13,11.67,11.91,11.57,11.83,7562
