Date,Open,High,Low,Close,Volume
31-Dec-13,6.33,6.39,6.25,6.29,2966
30-Dec-13,6.26,6.26,6.22,6.26,2611
27-Dec-13,6.40,6.40,6.25,6.25,11961
26-Dec-13,6.28,6.38,6.28,6.37,3662
24-Dec-13,6.26,6.38,6.26,6.38,1874
23-Dec-13,6.28,6.39,6.20,6.39,4913
20-Dec-13,6.19,6.39,6.17,6.20,1862
19-Dec-13,6.28,6.35,6.21,6.25,2930
18-Dec-13,6.19,6.39,6.16,6.39,5771
17-Dec-13,6.30,6.37,6.13,6.18,3420
16-Dec-13,6.24,6.30,6.20,6.30,4292
13-Dec-13,6.26,6.33,6.15,6.18,4047
12-Dec-13,6.09,6.25,6.09,6.25,9238
11-Dec-13,6.11,6.18,6.11,6.15,3643
10-Dec-13,6.04,6.15,6.01,6.06,9562
9-Dec-13,6.10,6.11,6.05,6.11,1551
6-Dec-13,6.20,6.22,6.00,6.22,3925
5-Dec-13,6.08,6.17,5.89,6.17,2752
4-Dec-13,5.94,6.19,5.90,6.06,5658
3-Dec-13,6.13,6.15,5.98,6.00,3620
2-Dec-13,6.15,6.18,6.12,6.18,5630
29-Nov-13,6.02,6.12,6.02,6.12,2859
27-Nov-13,5.97,6.11,5.97,6.11,1750
26-Nov-13,5.85,5.98,5.80,5.97,10672
25-Nov-13,5.64,5.83,5.64,5.81,500
22-Nov-13,5.94,5.94,5.79,5.83,6667
21-Nov-13,5.82,5.89,5.78,5.89,6210
20-Nov-13,5.79,5.79,5.74,5.75,4780
19-Nov-13,5.83,5.85,5.70,5.79,12982
18-Nov-13,5.93,6.08,5.75,5.85,32099
15-Nov-13,5.99,5.99,5.78,5.89,15139
14-Nov-13,5.89,5.93,5.84,5.84,3853
13-Nov-13,6.23,6.23,5.75,5.80,38700
12-Nov-13,6.59,6.62,6.48,6.48,12101
11-Nov-13,6.53,6.75,6.48,6.49,9068
8-Nov-13,6.55,6.65,6.48,6.64,4655
7-Nov-13,6.59,6.76,6.34,6.65,6088
6-Nov-13,6.85,6.85,6.32,6.77,11364
5-Nov-13,6.25,6.40,6.20,6.30,11888
4-Nov-13,6.40,6.40,6.10,6.30,9128
1-Nov-13,6.49,6.65,6.24,6.45,2460
31-Oct-13,6.83,6.83,6.00,6.43,13605
30-Oct-13,7.60,7.60,6.05,6.05,14210
29-Oct-13,6.67,6.99,6.30,6.49,14518
28-Oct-13,6.50,6.97,6.49,6.61,29577
25-Oct-13,5.95,6.52,5.95,6.50,14710
24-Oct-13,5.82,5.95,5.80,5.95,16510
23-Oct-13,5.84,5.86,5.63,5.75,3349
22-Oct-13,5.80,5.86,5.80,5.84,12139
21-Oct-13,5.75,5.86,5.73,5.86,13560
18-Oct-13,5.67,5.74,5.66,5.72,10362
17-Oct-13,5.36,5.56,5.36,5.54,13165
16-Oct-13,5.62,5.74,5.43,5.43,2345
15-Oct-13,5.72,5.74,5.70,5.70,6588
14-Oct-13,5.74,5.74,5.26,5.72,6298
11-Oct-13,5.42,5.59,5.42,5.55,5790
10-Oct-13,5.41,5.72,5.26,5.36,13577
9-Oct-13,5.60,5.60,5.35,5.37,1402
8-Oct-13,5.41,5.58,5.41,5.58,400
7-Oct-13,5.44,5.60,5.44,5.60,1300
4-Oct-13,5.53,5.60,5.35,5.35,9850
3-Oct-13,5.48,5.56,5.48,5.56,1357
2-Oct-13,5.65,5.75,5.48,5.57,6485
1-Oct-13,5.75,5.75,5.56,5.58,3217
30-Sep-13,5.75,5.75,5.31,5.74,10789
27-Sep-13,5.65,5.70,5.63,5.70,2650
26-Sep-13,5.60,5.62,5.59,5.62,1600
25-Sep-13,5.57,5.60,5.37,5.59,13487
24-Sep-13,5.59,5.65,5.50,5.56,10020
23-Sep-13,5.50,5.75,5.45,5.59,7110
20-Sep-13,5.42,5.50,5.42,5.50,6811
19-Sep-13,5.45,5.45,5.40,5.40,3905
18-Sep-13,5.39,5.40,5.35,5.36,4139
17-Sep-13,5.35,5.42,5.35,5.35,18717
16-Sep-13,5.31,5.48,5.31,5.36,16715
13-Sep-13,5.34,5.35,5.31,5.32,10551
12-Sep-13,5.26,5.35,5.25,5.35,15323
11-Sep-13,5.21,5.35,5.12,5.20,900
10-Sep-13,5.30,5.32,5.10,5.15,1284
9-Sep-13,5.38,5.38,5.18,5.30,2114
6-Sep-13,5.37,5.37,5.34,5.34,600
5-Sep-13,5.33,5.37,5.21,5.21,7017
4-Sep-13,5.27,5.39,5.22,5.38,10255
3-Sep-13,5.21,5.33,5.21,5.24,4830
30-Aug-13,5.22,5.24,5.21,5.24,1100
29-Aug-13,5.33,5.35,5.22,5.23,5837
28-Aug-13,5.21,5.50,5.21,5.44,2582
27-Aug-13,5.25,5.34,5.25,5.25,9935
26-Aug-13,5.38,5.39,5.25,5.25,3840
23-Aug-13,5.45,5.45,5.21,5.39,6274
22-Aug-13,5.54,5.55,5.36,5.45,16225
21-Aug-13,5.25,5.37,5.15,5.36,22173
20-Aug-13,4.85,5.25,4.85,5.08,17500
19-Aug-13,4.67,4.96,4.66,4.85,58208
16-Aug-13,4.50,4.65,4.50,4.65,3872
15-Aug-13,4.66,4.66,4.55,4.66,4950
14-Aug-13,4.57,4.62,4.57,4.62,3700
13-Aug-13,4.62,4.63,4.60,4.62,14551
12-Aug-13,4.66,4.68,4.65,4.65,31744
9-Aug-13,4.60,4.67,4.55,4.66,66477
8-Aug-13,4.45,4.56,4.45,4.47,1805
7-Aug-13,4.45,4.59,4.45,4.46,1357
6-Aug-13,4.35,4.55,4.35,4.55,5275
5-Aug-13,4.44,4.56,4.44,4.55,900
2-Aug-13,4.56,4.56,4.54,4.56,3030
1-Aug-13,4.60,4.60,4.58,4.58,700
31-Jul-13,4.60,4.60,4.55,4.60,2642
30-Jul-13,4.40,4.60,4.40,4.60,6854
29-Jul-13,4.60,4.60,4.33,4.59,1400
26-Jul-13,4.57,4.60,4.57,4.60,1000
25-Jul-13,4.48,4.55,4.48,4.55,1026
24-Jul-13,4.48,4.48,4.47,4.48,1510
23-Jul-13,4.46,4.48,4.45,4.48,1108
22-Jul-13,4.50,4.59,4.47,4.48,1502
19-Jul-13,4.51,4.51,4.50,4.50,700
18-Jul-13,4.60,4.60,4.55,4.60,1500
17-Jul-13,4.60,4.60,4.51,4.59,2700
16-Jul-13,4.28,4.62,4.28,4.55,17363
15-Jul-13,4.29,4.59,4.29,4.59,3614
12-Jul-13,4.43,4.43,4.24,4.35,1221
11-Jul-13,4.31,4.31,4.31,4.31,1500
10-Jul-13,4.47,4.47,4.34,4.35,1600
9-Jul-13,4.40,4.40,4.29,4.40,1207
5-Jul-13,4.44,4.44,4.40,4.40,200
3-Jul-13,4.42,4.52,4.42,4.48,2908
2-Jul-13,4.44,4.44,4.42,4.42,1025
1-Jul-13,4.30,4.36,4.30,4.35,2621
28-Jun-13,4.30,4.47,4.29,4.47,1369
27-Jun-13,4.23,4.41,4.23,4.41,700
26-Jun-13,4.47,4.47,4.32,4.32,750
25-Jun-13,4.38,4.58,4.27,4.47,3940
24-Jun-13,4.47,4.47,4.17,4.21,3201
21-Jun-13,4.28,4.49,4.20,4.49,3375
20-Jun-13,4.51,4.55,4.28,4.28,3930
19-Jun-13,4.75,4.80,4.28,4.35,15471
18-Jun-13,4.66,4.83,4.47,4.75,6651
17-Jun-13,4.77,4.85,4.77,4.78,3801
14-Jun-13,4.46,4.74,4.46,4.74,6025
13-Jun-13,4.58,4.58,4.41,4.46,2140
12-Jun-13,4.28,4.57,4.27,4.57,4950
