Date,Open,High,Low,Close,Volume
31-Dec-13,46.00,46.04,45.46,45.61,321676
30-Dec-13,45.94,46.13,45.62,45.91,159708
27-Dec-13,46.17,46.20,45.54,45.83,233951
26-Dec-13,45.59,46.23,45.43,45.98,362660
24-Dec-13,44.99,45.63,44.83,45.45,158913
23-Dec-13,44.83,45.12,44.67,45.07,221978
20-Dec-13,43.95,44.80,43.54,44.65,598176
19-Dec-13,44.00,44.09,43.51,43.97,236469
18-Dec-13,43.43,44.17,42.98,44.15,253945
17-Dec-13,43.48,43.50,43.01,43.26,313775
16-Dec-13,42.55,43.72,42.55,43.58,370916
13-Dec-13,42.40,42.67,41.94,42.40,228871
12-Dec-13,42.30,42.50,41.93,42.32,210613
11-Dec-13,43.03,43.03,42.07,42.22,260608
10-Dec-13,43.04,43.72,42.69,42.88,347621
9-Dec-13,43.99,44.00,43.06,43.24,297924
6-Dec-13,43.48,43.91,43.10,43.71,345128
5-Dec-13,42.76,43.04,42.41,42.91,319808
4-Dec-13,42.53,43.12,42.37,42.88,451694
3-Dec-13,42.47,42.89,42.47,42.83,380485
2-Dec-13,43.01,43.37,42.49,42.51,397725
29-Nov-13,43.47,43.53,42.87,42.90,155233
27-Nov-13,42.89,43.22,42.51,43.20,424261
26-Nov-13,42.33,42.92,42.09,42.79,299043
25-Nov-13,42.25,42.39,41.97,42.36,277359
22-Nov-13,42.21,42.38,41.89,42.25,320421
21-Nov-13,41.38,42.27,40.74,42.14,380373
20-Nov-13,41.45,41.60,41.02,41.16,361649
19-Nov-13,41.25,41.50,41.00,41.24,500649
18-Nov-13,40.04,41.39,39.93,41.33,579767
15-Nov-13,39.39,40.23,39.27,39.95,529847
14-Nov-13,39.30,39.53,39.07,39.43,314356
13-Nov-13,40.56,40.70,38.88,39.45,641157
12-Nov-13,39.08,39.49,38.80,39.25,614510
11-Nov-13,39.11,39.36,38.88,39.17,420721
8-Nov-13,39.38,39.90,39.05,39.32,400811
7-Nov-13,40.30,40.31,39.38,39.40,302945
6-Nov-13,40.00,40.11,39.30,40.05,232149
5-Nov-13,40.05,40.11,39.57,39.68,235294
4-Nov-13,40.12,40.57,39.87,40.37,257350
1-Nov-13,39.96,40.09,38.99,39.89,557943
31-Oct-13,40.37,40.42,39.83,40.09,451007
30-Oct-13,41.26,41.36,40.32,40.43,205267
29-Oct-13,41.22,41.54,40.84,41.31,149103
28-Oct-13,40.99,41.32,40.83,41.12,153601
25-Oct-13,41.00,41.21,40.65,41.17,148714
24-Oct-13,40.91,41.28,40.68,40.84,187739
23-Oct-13,40.67,41.13,40.23,40.79,303782
22-Oct-13,40.03,40.97,40.03,40.84,509684
21-Oct-13,39.95,40.30,39.77,40.01,476972
18-Oct-13,40.31,40.48,39.96,40.03,564390
17-Oct-13,40.17,40.63,39.94,40.20,281995
16-Oct-13,40.47,40.61,39.94,40.34,308221
15-Oct-13,41.81,41.81,40.03,40.07,378441
14-Oct-13,41.00,42.17,40.96,42.07,235773
11-Oct-13,41.48,41.53,41.19,41.52,367170
10-Oct-13,41.09,41.76,40.53,41.56,297262
9-Oct-13,40.50,40.78,40.08,40.48,285103
8-Oct-13,40.62,40.99,40.24,40.36,257843
7-Oct-13,40.61,41.07,40.60,40.69,257490
4-Oct-13,40.20,41.00,40.06,40.92,216131
3-Oct-13,40.38,40.58,39.50,40.30,293048
2-Oct-13,40.60,41.35,40.03,40.47,300205
1-Oct-13,40.84,41.69,40.65,40.99,555195
30-Sep-13,40.69,41.21,40.61,40.83,327344
27-Sep-13,41.26,41.45,41.01,41.05,225021
26-Sep-13,41.61,41.92,41.33,41.58,294061
25-Sep-13,41.98,42.23,41.62,41.63,264679
24-Sep-13,41.75,42.40,41.55,41.99,253282
23-Sep-13,41.68,41.96,41.45,41.75,259812
20-Sep-13,41.69,41.95,41.57,41.85,541067
19-Sep-13,41.00,41.69,40.95,41.60,182685
18-Sep-13,41.00,41.29,40.60,40.87,256385
17-Sep-13,40.40,40.99,40.36,40.95,201291
16-Sep-13,41.49,41.49,40.18,40.44,281205
13-Sep-13,41.04,41.04,40.44,40.90,114617
12-Sep-13,41.15,41.43,40.78,40.82,124170
11-Sep-13,40.93,41.29,40.56,41.19,176246
10-Sep-13,41.03,41.68,40.98,41.08,268135
9-Sep-13,40.38,40.93,40.38,40.67,293527
6-Sep-13,39.31,40.29,39.06,40.16,349356
5-Sep-13,38.95,39.40,38.62,39.24,208401
4-Sep-13,38.59,39.02,38.26,39.00,349457
3-Sep-13,39.25,39.48,38.00,38.65,517377
30-Aug-13,39.48,39.50,38.54,38.56,216374
29-Aug-13,39.12,39.72,39.09,39.58,233288
28-Aug-13,39.20,39.50,39.16,39.19,138921
27-Aug-13,39.77,40.09,39.22,39.25,242459
26-Aug-13,40.69,40.90,40.35,40.41,172675
23-Aug-13,40.81,40.88,40.20,40.60,144880
22-Aug-13,40.30,41.04,40.20,40.80,137488
21-Aug-13,40.66,40.84,40.11,40.14,141176
20-Aug-13,40.70,41.18,40.63,40.94,306265
19-Aug-13,40.72,41.05,40.50,40.60,512237
16-Aug-13,40.45,41.28,40.27,40.99,302922
15-Aug-13,41.41,41.47,40.40,40.72,426519
14-Aug-13,42.14,42.36,41.92,42.00,94749
13-Aug-13,42.49,42.55,42.08,42.36,137897
12-Aug-13,41.14,42.46,41.14,42.45,181704
9-Aug-13,41.49,41.80,41.21,41.52,147165
8-Aug-13,41.38,41.79,41.08,41.71,238534
7-Aug-13,41.18,41.46,40.55,41.04,357792
6-Aug-13,42.25,42.30,41.19,41.25,295518
5-Aug-13,42.13,42.42,42.03,42.35,177943
2-Aug-13,42.18,42.40,41.78,42.30,210844
1-Aug-13,41.45,42.72,41.06,42.47,479572
31-Jul-13,41.19,41.43,40.66,40.92,354585
30-Jul-13,41.14,41.60,40.87,40.98,311517
29-Jul-13,41.53,41.89,40.50,40.86,460311
26-Jul-13,40.16,42.89,40.15,41.13,925822
25-Jul-13,41.55,42.29,40.45,41.07,822446
24-Jul-13,42.39,42.57,41.47,41.49,468593
23-Jul-13,42.34,42.58,42.12,42.39,157165
22-Jul-13,41.99,42.61,41.99,42.25,140423
19-Jul-13,42.00,42.34,41.82,42.27,136623
18-Jul-13,41.61,42.05,41.61,42.04,132972
17-Jul-13,41.22,42.00,41.22,41.41,157774
16-Jul-13,41.65,42.00,41.49,41.56,342948
15-Jul-13,41.50,41.90,41.36,41.73,185298
12-Jul-13,40.84,41.55,40.57,41.35,381587
11-Jul-13,41.57,41.71,40.48,40.87,472003
10-Jul-13,41.19,41.70,40.85,40.92,323954
9-Jul-13,41.77,42.05,41.06,41.89,189617
8-Jul-13,41.51,41.75,41.33,41.42,179378
5-Jul-13,41.50,41.63,40.61,41.39,202430
3-Jul-13,40.00,40.61,39.99,40.49,161166
2-Jul-13,40.90,41.17,39.95,40.32,335428
1-Jul-13,40.05,41.24,39.67,40.99,276430
28-Jun-13,39.90,40.32,39.69,40.00,569901
27-Jun-13,39.81,40.19,39.81,40.10,251538
26-Jun-13,39.47,39.66,38.89,39.41,406497
25-Jun-13,39.54,39.76,39.00,39.08,539382
24-Jun-13,39.98,40.58,39.14,39.17,297217
21-Jun-13,40.23,40.92,40.11,40.31,858496
20-Jun-13,40.49,40.67,39.70,40.16,509856
19-Jun-13,40.78,41.05,40.50,40.65,174297
18-Jun-13,40.91,41.01,40.65,40.91,328581
17-Jun-13,41.00,41.00,40.51,40.76,460658
14-Jun-13,40.95,41.00,40.36,40.49,208451
13-Jun-13,40.10,41.00,39.95,40.94,247864
12-Jun-13,41.00,41.00,39.93,40.05,299388
11-Jun-13,40.41,41.24,40.19,40.69,236774
10-Jun-13,41.14,41.37,40.32,41.06,317787
7-Jun-13,40.03,40.98,39.90,40.86,306579
6-Jun-13,39.53,40.07,39.48,40.05,430507
5-Jun-13,39.43,39.77,39.43,39.56,481759
4-Jun-13,40.30,40.65,39.50,39.57,574456
3-Jun-13,40.13,40.33,39.18,40.18,945716
31-May-13,38.79,39.46,38.70,39.15,323293
30-May-13,38.77,39.38,38.26,39.14,330595
29-May-13,38.65,39.21,38.55,38.71,570210
28-May-13,38.82,39.22,37.66,39.04,262190
24-May-13,38.25,38.29,37.62,38.13,179105
23-May-13,38.01,38.50,37.68,38.43,422545
22-May-13,38.21,38.42,38.06,38.27,515309
21-May-13,37.75,38.46,37.64,38.27,329663
20-May-13,37.08,37.80,37.08,37.78,359076
17-May-13,37.07,37.60,36.95,37.33,453444
16-May-13,36.54,37.31,36.45,36.92,399893
15-May-13,36.79,36.93,36.53,36.81,345158
14-May-13,36.13,37.00,36.13,36.90,224197
13-May-13,36.39,36.47,36.03,36.18,402639
10-May-13,36.16,36.64,36.16,36.42,281664
9-May-13,36.19,36.64,35.93,36.00,276191
8-May-13,35.77,36.39,35.65,36.29,400974
7-May-13,35.81,36.27,35.59,35.97,265009
6-May-13,35.80,35.92,35.56,35.81,121525
3-May-13,35.44,36.42,35.15,35.80,293525
2-May-13,34.83,35.41,34.70,34.85,387490
1-May-13,35.73,35.99,34.62,34.63,599619
30-Apr-13,35.35,36.03,35.01,35.99,434491
29-Apr-13,35.48,35.64,35.17,35.52,473478
26-Apr-13,35.57,35.85,35.16,35.41,294227
25-Apr-13,35.07,36.04,35.07,35.62,518545
24-Apr-13,34.56,35.52,34.42,34.85,513137
23-Apr-13,35.91,36.50,34.66,34.70,703211
22-Apr-13,34.08,34.25,33.49,34.13,682823
19-Apr-13,34.09,34.58,33.99,34.14,294652
18-Apr-13,34.77,34.95,34.21,34.27,249574
17-Apr-13,35.43,35.67,34.19,34.71,478709
16-Apr-13,36.03,36.03,35.40,35.83,430945
15-Apr-13,36.82,37.17,35.40,35.64,506456
12-Apr-13,37.15,37.36,36.94,37.15,231672
11-Apr-13,37.83,37.86,37.35,37.45,347831
10-Apr-13,37.48,38.16,37.08,38.08,476982
9-Apr-13,37.46,37.63,37.06,37.42,177831
8-Apr-13,37.02,37.44,36.87,37.43,295799
5-Apr-13,36.69,36.97,36.25,36.91,346203
4-Apr-13,37.74,38.01,36.78,37.28,411645
3-Apr-13,39.46,39.68,37.54,37.77,416816
2-Apr-13,39.66,39.88,39.29,39.48,376424
1-Apr-13,39.65,39.91,39.04,39.45,339884
28-Mar-13,40.06,40.06,39.52,39.76,290308
27-Mar-13,39.26,40.08,39.12,39.94,270074
26-Mar-13,39.73,39.73,39.24,39.62,88640
25-Mar-13,39.50,40.12,38.90,39.41,189976
22-Mar-13,39.40,39.53,39.30,39.48,140349
21-Mar-13,39.40,39.73,39.08,39.32,242015
20-Mar-13,39.71,39.90,39.39,39.84,166760
19-Mar-13,40.13,40.17,38.91,39.33,240599
18-Mar-13,39.07,40.06,39.03,39.92,255957
15-Mar-13,40.09,40.18,39.62,39.66,576156
14-Mar-13,39.93,40.29,39.75,40.28,214729
13-Mar-13,39.88,39.99,39.59,39.76,165193
12-Mar-13,39.80,40.10,39.63,39.84,379019
11-Mar-13,39.71,40.01,39.70,39.94,229225
8-Mar-13,38.46,39.90,38.13,39.81,470358
7-Mar-13,37.70,38.08,37.44,38.03,272575
6-Mar-13,37.52,37.84,37.31,37.79,118511
5-Mar-13,37.42,37.81,37.35,37.48,398070
4-Mar-13,37.09,37.32,36.77,37.17,240367
1-Mar-13,37.07,37.45,36.78,37.20,377321
28-Feb-13,37.61,38.04,37.42,37.43,201863
27-Feb-13,37.36,38.07,37.36,37.77,167443
26-Feb-13,37.16,37.69,36.59,37.41,283809
25-Feb-13,38.47,38.66,36.87,36.88,263826
22-Feb-13,38.07,38.55,38.04,38.29,174362
21-Feb-13,38.23,38.35,37.60,37.76,310406
20-Feb-13,39.00,39.49,38.27,38.29,322543
19-Feb-13,39.19,39.59,39.05,39.38,341357
15-Feb-13,39.49,39.49,39.07,39.18,178003
14-Feb-13,38.97,39.42,38.97,39.22,136994
13-Feb-13,39.00,39.56,38.82,39.14,320920
12-Feb-13,38.49,39.29,38.48,38.93,374575
11-Feb-13,38.56,38.61,38.03,38.45,258989
8-Feb-13,38.45,38.65,38.37,38.54,185969
7-Feb-13,38.85,39.00,38.12,38.38,257299
6-Feb-13,38.22,39.17,38.22,38.85,394184
5-Feb-13,38.39,38.50,38.05,38.34,266216
4-Feb-13,38.33,38.80,38.09,38.21,297408
1-Feb-13,38.74,39.00,38.52,38.76,232466
