Date,Open,High,Low,Close,Volume
31-Dec-13,5.58,5.80,5.55,5.75,610552
30-Dec-13,5.42,5.58,5.16,5.58,498117
27-Dec-13,5.31,5.49,5.24,5.44,376742
26-Dec-13,5.38,5.50,5.17,5.27,486924
24-Dec-13,5.48,5.49,5.31,5.35,130321
23-Dec-13,5.31,5.69,5.27,5.49,510366
20-Dec-13,5.16,5.29,5.12,5.23,602042
19-Dec-13,5.22,5.25,5.11,5.13,331341
18-Dec-13,5.19,5.36,5.11,5.24,445073
17-Dec-13,5.36,5.38,5.05,5.19,236834
16-Dec-13,5.06,5.24,5.05,5.18,259539
13-Dec-13,5.07,5.14,4.97,5.07,325989
12-Dec-13,5.20,5.22,5.03,5.07,432026
11-Dec-13,5.15,5.20,4.99,5.19,319943
10-Dec-13,5.19,5.26,5.06,5.14,236538
9-Dec-13,5.12,5.21,5.02,5.21,352770
6-Dec-13,5.04,5.20,5.00,5.10,343693
5-Dec-13,5.12,5.18,4.96,4.98,265347
4-Dec-13,5.21,5.26,5.12,5.12,308934
3-Dec-13,5.37,5.44,5.16,5.22,262677
2-Dec-13,5.36,5.47,5.25,5.38,382525
29-Nov-13,5.31,5.42,5.29,5.34,164218
27-Nov-13,5.30,5.36,5.19,5.27,249268
26-Nov-13,5.08,5.34,5.07,5.28,645788
25-Nov-13,5.06,5.18,5.03,5.09,578311
22-Nov-13,5.17,5.19,5.03,5.06,443293
21-Nov-13,5.13,5.17,5.04,5.15,395097
20-Nov-13,5.02,5.16,4.98,5.08,288096
19-Nov-13,5.20,5.24,4.93,4.99,682558
18-Nov-13,5.20,5.35,5.17,5.18,605562
15-Nov-13,5.15,5.24,5.08,5.22,457467
14-Nov-13,5.15,5.20,5.03,5.15,300859
13-Nov-13,5.18,5.27,4.94,5.16,386914
12-Nov-13,5.26,5.37,5.07,5.20,439644
11-Nov-13,5.12,5.33,5.05,5.25,582096
8-Nov-13,4.89,5.25,4.88,5.11,893952
7-Nov-13,5.04,5.17,4.72,4.90,478122
6-Nov-13,5.23,5.24,4.84,5.05,420571
5-Nov-13,5.16,5.33,5.13,5.18,391323
4-Nov-13,5.19,5.29,5.10,5.18,311085
1-Nov-13,5.21,5.33,5.12,5.17,409636
31-Oct-13,5.62,5.62,5.22,5.23,405704
30-Oct-13,5.81,5.82,5.60,5.64,359190
29-Oct-13,5.85,5.90,5.73,5.81,399116
28-Oct-13,5.95,5.98,5.79,5.86,308020
25-Oct-13,5.91,6.04,5.81,5.94,680357
24-Oct-13,5.55,5.90,5.52,5.90,1684901
23-Oct-13,5.74,5.80,5.50,5.58,298743
22-Oct-13,5.78,5.84,5.72,5.79,476303
21-Oct-13,5.91,6.02,5.72,5.77,409822
18-Oct-13,5.93,6.00,5.76,5.89,495086
17-Oct-13,6.02,6.05,5.82,5.89,380888
16-Oct-13,6.07,6.20,6.00,6.07,365832
15-Oct-13,6.03,6.50,5.92,6.02,1391755
14-Oct-13,5.57,5.73,5.43,5.69,320351
11-Oct-13,5.72,5.86,5.54,5.62,2913762
10-Oct-13,5.71,5.87,5.59,5.75,674492
9-Oct-13,5.53,5.67,5.31,5.61,787470
8-Oct-13,5.94,5.97,5.52,5.52,826814
7-Oct-13,5.96,6.00,5.81,5.94,696337
4-Oct-13,5.82,6.20,5.81,6.03,550315
3-Oct-13,5.78,5.91,5.71,5.82,422389
2-Oct-13,5.75,5.87,5.62,5.80,372973
1-Oct-13,5.68,5.92,5.64,5.77,503934
30-Sep-13,5.64,5.81,5.55,5.68,508449
27-Sep-13,5.61,5.84,5.45,5.72,410513
26-Sep-13,5.66,5.73,5.52,5.65,220552
25-Sep-13,5.62,5.95,5.59,5.66,500568
24-Sep-13,5.67,5.67,5.43,5.63,323872
23-Sep-13,5.54,5.70,5.51,5.65,223831
20-Sep-13,5.76,5.76,5.51,5.56,545042
19-Sep-13,5.57,5.81,5.55,5.76,534173
18-Sep-13,5.43,5.68,5.38,5.57,532812
17-Sep-13,5.41,5.56,5.30,5.44,313616
16-Sep-13,5.92,6.08,5.38,5.44,594358
13-Sep-13,5.77,5.77,5.62,5.75,423967
12-Sep-13,5.91,6.11,5.67,5.75,526615
11-Sep-13,5.81,6.07,5.62,5.93,871381
10-Sep-13,5.16,6.08,5.10,5.89,1635546
9-Sep-13,5.02,5.10,5.01,5.03,258801
6-Sep-13,5.04,5.11,4.90,5.03,196310
5-Sep-13,5.07,5.14,4.92,5.01,180404
4-Sep-13,4.96,5.26,4.92,5.08,1227798
3-Sep-13,4.89,5.04,4.69,4.95,360574
30-Aug-13,4.88,4.94,4.84,4.89,297784
29-Aug-13,4.79,4.92,4.62,4.89,258827
28-Aug-13,4.44,4.83,4.35,4.81,201884
27-Aug-13,4.67,4.71,4.43,4.45,406697
26-Aug-13,4.60,4.72,4.52,4.71,406043
23-Aug-13,4.63,4.66,4.53,4.59,274104
22-Aug-13,4.60,4.69,4.56,4.63,221025
21-Aug-13,4.42,4.73,4.34,4.57,383150
20-Aug-13,4.28,4.44,4.24,4.43,294254
19-Aug-13,4.28,4.34,4.26,4.27,243659
16-Aug-13,4.40,4.47,4.27,4.28,307219
15-Aug-13,4.55,4.58,4.38,4.43,344171
14-Aug-13,4.58,4.67,4.52,4.60,264240
13-Aug-13,4.58,4.61,4.54,4.59,293263
12-Aug-13,4.76,4.78,4.58,4.59,317268
9-Aug-13,4.79,4.89,4.75,4.83,178881
8-Aug-13,4.84,4.85,4.54,4.79,391418
7-Aug-13,5.22,5.25,4.87,4.87,539936
6-Aug-13,5.18,5.27,5.13,5.22,265061
5-Aug-13,5.32,5.34,5.16,5.18,263969
2-Aug-13,5.40,5.45,5.31,5.32,206813
1-Aug-13,5.42,5.65,5.36,5.42,283916
31-Jul-13,5.62,5.65,5.36,5.39,269612
30-Jul-13,5.55,5.72,5.55,5.62,306717
29-Jul-13,5.52,5.56,5.36,5.50,264726
26-Jul-13,5.76,5.76,5.50,5.56,279776
25-Jul-13,5.72,5.84,5.64,5.81,218661
24-Jul-13,5.80,5.86,5.63,5.71,245379
23-Jul-13,5.76,5.93,5.51,5.80,395177
