Date,Open,High,Low,Close,Volume
31-Dec-13,20.39,20.42,20.39,20.42,2780
30-Dec-13,20.25,20.34,20.25,20.30,2118
27-Dec-13,20.27,20.27,20.14,20.14,887
26-Dec-13,20.51,20.51,20.51,20.51,649
24-Dec-13,20.36,20.47,20.31,20.43,1470
23-Dec-13,20.46,20.46,20.05,20.08,8147
20-Dec-13,20.17,20.21,19.97,20.21,7177
19-Dec-13,20.08,20.15,20.06,20.15,7541
18-Dec-13,20.11,20.31,19.74,20.00,10321
17-Dec-13,20.67,20.71,20.66,20.71,1600
16-Dec-13,20.59,20.71,20.59,20.65,1643
13-Dec-13,20.51,20.62,20.51,20.60,4723
11-Dec-13,20.69,20.70,20.65,20.65,8940
10-Dec-13,20.79,21.75,20.74,20.80,4291
9-Dec-13,20.69,20.79,20.65,20.79,22776
6-Dec-13,20.51,20.66,20.51,20.66,744
5-Dec-13,20.50,20.56,20.24,20.47,5488
4-Dec-13,20.65,20.68,20.35,20.44,4600
3-Dec-13,20.57,20.66,20.57,20.66,5849
2-Dec-13,20.76,20.76,20.63,20.65,3930
29-Nov-13,20.80,20.83,20.79,20.83,880
27-Nov-13,20.57,20.88,20.57,20.80,2510
26-Nov-13,20.80,20.83,20.71,20.71,3945
25-Nov-13,20.54,20.92,20.54,20.92,3192
22-Nov-13,20.95,20.96,20.83,20.86,6774
21-Nov-13,20.97,20.97,20.84,20.85,3399
20-Nov-13,21.09,21.11,21.04,21.08,2180
19-Nov-13,21.16,21.17,21.06,21.11,4251
18-Nov-13,21.45,21.45,20.89,21.04,12540
15-Nov-13,21.23,21.31,20.01,21.16,5950
14-Nov-13,21.06,21.31,21.04,21.17,8312
13-Nov-13,20.86,21.00,20.86,20.96,12115
12-Nov-13,21.05,21.05,21.05,21.05,600
11-Nov-13,21.07,21.12,21.07,21.07,6441
8-Nov-13,21.08,21.09,21.03,21.08,4666
7-Nov-13,21.25,21.25,21.10,21.11,6970
6-Nov-13,21.50,21.50,21.34,21.34,1268
5-Nov-13,21.05,21.28,21.05,21.27,2000
4-Nov-13,21.12,21.12,21.00,21.06,5734
1-Nov-13,21.15,21.15,20.86,21.02,8062
31-Oct-13,21.09,21.09,21.09,21.09,2290
30-Oct-13,21.45,21.45,21.04,21.04,3371
29-Oct-13,21.47,21.47,21.20,21.20,2220
28-Oct-13,21.21,21.22,21.15,21.22,5422
25-Oct-13,21.36,21.36,21.17,21.17,1793
24-Oct-13,21.15,21.41,21.14,21.14,7044
23-Oct-13,21.12,21.12,21.12,21.12,525
22-Oct-13,21.28,21.30,21.24,21.30,505
21-Oct-13,21.42,21.42,21.25,21.25,1230
18-Oct-13,21.30,21.30,21.15,21.16,15475
17-Oct-13,21.10,21.12,21.10,21.10,11675
16-Oct-13,21.03,21.03,20.88,20.93,10684
15-Oct-13,20.86,20.86,20.86,20.86,100
14-Oct-13,20.91,21.04,20.91,21.04,1430
11-Oct-13,20.95,20.95,20.84,20.84,1090
9-Oct-13,20.76,20.76,20.65,20.75,10261
7-Oct-13,20.82,20.84,20.70,20.70,3417
4-Oct-13,20.78,20.83,20.69,20.69,10438
3-Oct-13,20.74,20.74,20.74,20.74,200
2-Oct-13,20.78,20.82,20.72,20.72,2460
1-Oct-13,20.35,20.77,20.35,20.73,1000
30-Sep-13,20.58,20.58,20.58,20.58,200
27-Sep-13,20.78,20.79,20.78,20.79,400
26-Sep-13,20.80,20.80,20.80,20.80,1120
25-Sep-13,20.90,20.90,20.81,20.81,300
24-Sep-13,20.90,20.91,20.83,20.84,2848
23-Sep-13,20.93,20.93,20.62,20.83,10690
20-Sep-13,21.02,21.02,20.61,20.75,1575
19-Sep-13,21.21,21.21,20.97,20.97,10310
18-Sep-13,20.71,21.32,20.62,21.09,59500
17-Sep-13,20.72,20.73,20.64,20.68,19800
16-Sep-13,20.62,20.63,20.62,20.63,1749
13-Sep-13,20.42,20.42,20.42,20.42,100
11-Sep-13,20.39,20.42,20.39,20.42,7900
10-Sep-13,20.36,20.36,20.29,20.29,400
9-Sep-13,20.18,20.30,20.18,20.28,5170
6-Sep-13,19.99,19.99,19.99,19.99,280
5-Sep-13,19.86,19.86,19.86,19.86,100
4-Sep-13,19.95,20.11,19.88,19.96,15473
3-Sep-13,19.96,19.96,19.96,19.96,105
30-Aug-13,19.95,19.95,19.75,19.82,11592
29-Aug-13,19.82,19.82,19.82,19.82,4350
28-Aug-13,19.84,19.86,19.83,19.83,12400
27-Aug-13,19.92,19.92,19.92,19.92,150
26-Aug-13,20.09,20.09,20.01,20.01,22600
23-Aug-13,20.10,20.19,20.10,20.18,3915
