Date,Open,High,Low,Close,Volume
31-Dec-13,2.30,2.31,2.26,2.26,33829
30-Dec-13,2.16,2.35,2.16,2.25,92419
27-Dec-13,2.36,2.39,2.08,2.23,65128
26-Dec-13,2.47,2.54,2.31,2.40,67268
24-Dec-13,2.40,2.50,2.33,2.50,17142
23-Dec-13,2.48,2.51,2.32,2.43,24831
20-Dec-13,2.55,2.89,2.39,2.49,30948
19-Dec-13,2.70,2.70,2.52,2.63,87578
18-Dec-13,2.68,2.76,2.52,2.69,20445
17-Dec-13,2.57,2.68,2.57,2.68,47341
16-Dec-13,2.59,2.61,2.55,2.60,5923
13-Dec-13,2.58,2.60,2.51,2.60,12358
12-Dec-13,2.54,2.60,2.46,2.56,29214
11-Dec-13,2.48,2.69,2.43,2.53,84691
10-Dec-13,2.47,2.56,2.43,2.48,34307
9-Dec-13,2.38,2.69,2.38,2.56,53390
6-Dec-13,2.26,2.43,2.23,2.42,43778
5-Dec-13,2.29,2.37,2.26,2.29,33610
4-Dec-13,2.37,2.45,2.28,2.32,38794
3-Dec-13,2.34,2.41,2.23,2.33,42271
2-Dec-13,2.43,2.46,2.29,2.43,20507
29-Nov-13,2.50,2.50,2.38,2.47,10272
27-Nov-13,2.47,2.50,2.41,2.49,18669
26-Nov-13,2.55,2.55,2.35,2.47,49754
25-Nov-13,2.70,2.70,2.58,2.58,65478
22-Nov-13,2.61,2.78,2.58,2.68,14990
21-Nov-13,2.63,2.74,2.55,2.66,56210
20-Nov-13,2.70,2.74,2.62,2.70,26532
19-Nov-13,2.51,2.70,2.50,2.66,80772
18-Nov-13,2.58,2.69,2.41,2.57,82575
15-Nov-13,2.77,2.77,2.18,2.65,237896
14-Nov-13,2.89,2.89,2.68,2.78,87058
13-Nov-13,2.71,2.89,2.71,2.89,85519
12-Nov-13,3.13,3.19,2.68,2.74,209957
11-Nov-13,2.97,3.25,2.61,3.13,480853
8-Nov-13,3.00,3.00,2.42,2.91,868393
7-Nov-13,2.10,2.49,1.96,2.27,230774
6-Nov-13,1.92,2.04,1.92,2.01,82703
5-Nov-13,1.88,1.97,1.85,1.92,74937
4-Nov-13,1.74,1.90,1.74,1.88,53473
1-Nov-13,1.70,1.87,1.70,1.87,31450
31-Oct-13,1.74,1.80,1.71,1.78,17250
30-Oct-13,1.77,1.78,1.67,1.74,8865
29-Oct-13,1.67,1.73,1.67,1.73,3600
28-Oct-13,1.75,1.75,1.68,1.71,17166
25-Oct-13,1.75,1.78,1.67,1.78,3360
24-Oct-13,1.78,1.79,1.62,1.76,36214
23-Oct-13,1.71,1.79,1.68,1.78,46525
