Date,Open,High,Low,Close,Volume
31-Dec-13,17.26,17.75,17.01,17.37,622346
30-Dec-13,17.29,17.69,16.96,17.33,616762
27-Dec-13,17.75,17.95,17.01,17.45,878958
26-Dec-13,17.00,18.20,17.00,17.95,739797
24-Dec-13,18.45,18.60,16.70,17.26,1210637
23-Dec-13,16.60,20.58,16.60,18.25,3563673
20-Dec-13,15.05,15.33,14.55,14.97,1362481
19-Dec-13,14.55,15.33,14.10,14.99,1846883
18-Dec-13,14.06,15.24,14.01,14.77,2137672
17-Dec-13,12.58,14.19,12.05,13.99,2490633
16-Dec-13,13.18,14.39,12.80,13.05,3842019
13-Dec-13,10.01,12.81,9.84,12.49,4387878
12-Dec-13,9.73,10.11,9.53,10.00,617289
11-Dec-13,9.50,10.21,9.20,9.63,1016542
10-Dec-13,9.99,10.15,9.30,9.49,994816
9-Dec-13,10.29,10.50,9.05,10.00,3217222
6-Dec-13,8.81,8.90,8.41,8.45,428476
5-Dec-13,8.79,8.82,8.34,8.72,421333
4-Dec-13,8.55,9.00,8.50,8.76,585929
3-Dec-13,9.25,9.25,7.44,8.67,2096332
2-Dec-13,9.06,9.88,8.97,9.58,1236580
29-Nov-13,9.10,9.32,8.60,9.00,459026
27-Nov-13,9.07,9.38,8.59,8.94,876659
26-Nov-13,8.73,9.19,8.28,9.09,1009966
25-Nov-13,7.58,8.80,7.58,8.72,1903978
22-Nov-13,7.44,7.59,7.30,7.57,415326
21-Nov-13,7.47,7.61,7.20,7.38,587831
20-Nov-13,7.40,7.88,7.25,7.39,1000527
19-Nov-13,7.43,7.88,7.20,7.36,982998
18-Nov-13,7.50,8.18,7.36,7.47,1400422
15-Nov-13,7.94,7.99,7.29,7.41,1636362
14-Nov-13,7.65,8.70,7.51,7.88,2071552
13-Nov-13,7.37,7.94,7.06,7.72,3137749
12-Nov-13,10.55,10.63,9.32,9.73,1674401
11-Nov-13,9.03,10.89,8.36,10.64,1703200
8-Nov-13,9.03,9.36,8.79,8.98,519136
7-Nov-13,10.15,10.15,8.67,9.04,933526
6-Nov-13,12.09,12.38,9.68,10.13,1841212
5-Nov-13,8.45,11.33,8.26,10.84,2150915
4-Nov-13,8.41,8.79,8.25,8.47,478066
1-Nov-13,9.51,9.88,8.33,8.34,1180595
31-Oct-13,9.31,9.55,8.65,9.52,790411
30-Oct-13,9.54,9.64,9.22,9.30,1251023
29-Oct-13,11.16,11.20,9.23,9.53,1520024
28-Oct-13,11.25,11.36,10.90,11.16,437710
25-Oct-13,11.48,11.54,11.00,11.25,436172
24-Oct-13,11.75,12.00,11.36,11.50,507086
23-Oct-13,12.06,12.30,11.63,11.74,496310
22-Oct-13,12.35,12.72,12.02,12.14,602143
21-Oct-13,14.66,14.66,12.00,12.14,1381600
18-Oct-13,15.06,15.20,14.53,14.68,388266
17-Oct-13,15.12,15.25,14.70,14.91,277753
16-Oct-13,14.76,15.50,14.76,15.12,1185573
15-Oct-13,15.18,15.39,14.54,14.60,306802
14-Oct-13,15.62,15.95,14.82,15.18,432201
11-Oct-13,16.75,16.75,15.58,15.66,521925
10-Oct-13,16.28,16.93,16.03,16.69,274417
9-Oct-13,16.06,16.30,15.60,15.90,230586
8-Oct-13,17.01,17.01,15.55,15.99,632050
7-Oct-13,17.20,17.58,16.93,16.99,305559
4-Oct-13,16.90,17.64,16.81,17.51,211495
3-Oct-13,17.58,17.99,16.75,16.84,139428
2-Oct-13,16.85,17.90,16.85,17.66,256386
1-Oct-13,16.83,17.20,16.66,17.14,181303
30-Sep-13,16.52,17.00,16.31,16.88,291481
27-Sep-13,17.06,17.37,16.70,16.71,182862
26-Sep-13,16.86,17.68,16.80,17.18,351557
25-Sep-13,16.87,17.47,16.40,16.63,300296
24-Sep-13,16.84,17.36,16.30,16.88,439227
23-Sep-13,17.88,18.20,16.23,16.82,651620
20-Sep-13,18.89,18.89,17.90,17.99,342689
19-Sep-13,18.80,19.07,18.39,18.84,264023
18-Sep-13,18.25,19.53,17.80,18.81,291961
17-Sep-13,18.63,18.94,17.63,18.21,286808
16-Sep-13,19.74,19.95,18.50,18.66,236847
13-Sep-13,19.49,20.07,19.20,19.28,252213
12-Sep-13,20.26,20.52,19.16,19.48,329703
11-Sep-13,20.94,21.23,19.92,20.30,474653
10-Sep-13,18.25,21.87,18.11,20.95,1552454
9-Sep-13,17.51,18.08,17.44,17.78,183646
6-Sep-13,17.81,18.17,17.05,17.44,276500
5-Sep-13,17.78,18.19,17.41,17.70,181342
4-Sep-13,17.49,18.37,17.20,17.71,383904
3-Sep-13,17.50,17.86,17.16,17.44,239571
30-Aug-13,17.90,17.99,16.92,17.02,328178
29-Aug-13,17.22,18.54,17.22,17.76,442627
28-Aug-13,17.57,18.31,16.82,17.22,367509
27-Aug-13,17.98,18.68,17.28,17.56,629854
26-Aug-13,16.41,18.84,16.41,18.58,991400
23-Aug-13,15.88,16.69,15.53,16.29,448311
22-Aug-13,15.46,16.61,15.45,16.11,353701
21-Aug-13,15.31,15.60,14.95,15.37,471141
20-Aug-13,14.55,15.61,14.55,15.38,794091
19-Aug-13,16.21,16.22,14.39,14.45,1207188
16-Aug-13,16.61,17.06,15.84,16.27,704284
15-Aug-13,17.67,17.98,16.63,16.74,832336
14-Aug-13,17.44,18.50,17.33,18.07,675748
13-Aug-13,18.15,18.41,17.25,17.50,780386
12-Aug-13,17.69,19.39,17.69,18.25,1138785
9-Aug-13,22.50,22.50,17.67,18.09,2981272
8-Aug-13,24.00,24.34,22.53,22.56,712264
7-Aug-13,24.07,25.44,22.00,23.52,3466603
6-Aug-13,29.98,30.00,28.39,28.58,490801
5-Aug-13,29.38,30.79,29.30,30.16,203496
2-Aug-13,29.67,30.35,29.00,29.72,295639
1-Aug-13,31.60,31.74,29.22,29.80,843046
31-Jul-13,29.19,32.80,28.70,32.26,991385
30-Jul-13,28.60,30.31,28.00,29.35,431777
29-Jul-13,31.03,31.18,26.26,28.51,1321197
26-Jul-13,29.50,31.67,29.01,31.47,365649
25-Jul-13,29.71,30.34,28.63,29.60,481348
24-Jul-13,32.07,32.18,30.03,30.25,372259
23-Jul-13,32.80,32.92,31.02,31.81,379297
22-Jul-13,30.28,33.89,30.28,32.99,760470
19-Jul-13,30.55,30.79,28.53,29.78,838381
18-Jul-13,32.66,32.80,31.14,31.62,389677
17-Jul-13,33.54,33.63,32.03,32.34,265688
16-Jul-13,32.59,34.47,32.05,33.00,487175
15-Jul-13,33.95,34.00,31.57,32.60,774334
12-Jul-13,35.66,36.37,32.32,33.95,706074
11-Jul-13,36.36,36.99,35.20,35.79,457098
10-Jul-13,35.62,36.47,34.29,35.32,497653
9-Jul-13,31.41,36.30,31.27,35.62,929613
8-Jul-13,32.00,32.00,30.88,31.33,308575
5-Jul-13,31.18,32.18,30.31,31.22,450767
3-Jul-13,30.55,31.00,29.54,30.61,176792
2-Jul-13,31.75,31.90,30.10,31.04,487971
1-Jul-13,30.76,31.94,29.11,31.62,1156647
28-Jun-13,28.20,30.49,27.55,28.75,2202962
27-Jun-13,26.81,28.38,25.53,28.21,734894
26-Jun-13,27.18,29.64,26.51,26.60,1382336
25-Jun-13,23.00,26.50,22.80,25.70,1032730
24-Jun-13,22.42,22.90,21.63,22.28,459647
21-Jun-13,23.81,24.45,22.30,23.11,483913
20-Jun-13,23.48,25.50,22.95,23.79,660634
19-Jun-13,23.37,24.83,23.36,24.00,480127
18-Jun-13,22.51,23.33,22.50,23.25,298945
17-Jun-13,23.09,23.23,22.19,22.51,329276
14-Jun-13,22.79,23.37,22.60,22.71,274355
13-Jun-13,21.70,22.85,21.63,22.60,348230
12-Jun-13,21.00,22.58,20.99,21.89,663784
11-Jun-13,19.51,21.20,19.04,20.93,464729
10-Jun-13,19.71,20.27,19.50,19.87,224223
7-Jun-13,19.21,19.75,18.73,19.64,194771
6-Jun-13,17.97,19.35,17.90,19.28,303244
5-Jun-13,18.93,19.13,17.56,17.66,387618
4-Jun-13,19.65,19.95,18.80,19.21,281382
3-Jun-13,19.90,20.75,18.74,19.84,314052
31-May-13,20.88,21.89,19.25,19.89,732842
30-May-13,18.51,20.62,18.50,20.35,658154
29-May-13,18.92,19.83,17.05,18.10,763808
28-May-13,20.31,21.60,18.86,19.48,498293
