Date,Open,High,Low,Close,Volume
31-Dec-13,26.42,26.72,25.94,26.00,258825
30-Dec-13,26.15,27.02,25.93,26.48,345605
27-Dec-13,26.55,26.55,25.97,26.18,221238
26-Dec-13,26.23,26.55,26.11,26.41,151492
24-Dec-13,26.37,26.85,26.16,26.40,168157
23-Dec-13,26.64,26.64,25.77,26.35,383149
20-Dec-13,25.88,26.97,25.79,26.37,878680
19-Dec-13,24.78,25.05,24.62,24.72,298047
18-Dec-13,24.45,25.20,24.04,24.89,493381
17-Dec-13,24.44,24.85,24.33,24.39,348051
16-Dec-13,24.49,24.70,24.08,24.46,449759
13-Dec-13,24.25,24.56,24.00,24.44,226447
12-Dec-13,24.41,24.59,24.11,24.21,433377
11-Dec-13,24.47,24.59,24.25,24.44,246319
10-Dec-13,25.18,25.30,24.31,24.41,508857
9-Dec-13,25.48,25.66,25.03,25.20,427405
6-Dec-13,25.25,26.69,25.05,25.57,675834
5-Dec-13,27.18,27.46,25.35,26.24,922532
4-Dec-13,27.32,28.08,27.15,27.29,496074
3-Dec-13,27.52,27.94,27.23,27.53,321612
2-Dec-13,27.68,27.93,27.16,27.56,411445
29-Nov-13,28.04,28.41,27.44,27.77,357530
27-Nov-13,29.35,29.41,27.30,27.89,945185
26-Nov-13,29.86,30.40,29.42,29.47,211977
25-Nov-13,30.02,30.34,29.62,29.93,157111
22-Nov-13,29.92,30.16,29.29,29.85,169228
21-Nov-13,29.81,30.54,29.81,29.96,214354
20-Nov-13,29.59,30.78,29.59,29.81,257647
19-Nov-13,29.86,30.90,29.34,29.47,205047
18-Nov-13,29.88,30.46,29.46,29.94,225029
15-Nov-13,29.43,29.90,29.25,29.90,132452
14-Nov-13,29.46,29.82,29.02,29.56,228505
13-Nov-13,29.25,29.95,29.25,29.57,152269
12-Nov-13,29.24,29.73,29.04,29.37,165509
11-Nov-13,29.61,30.26,29.07,29.37,203798
8-Nov-13,29.10,29.95,28.97,29.58,143012
7-Nov-13,29.43,30.16,28.90,29.10,157473
6-Nov-13,29.60,29.60,28.94,29.19,147131
5-Nov-13,29.18,29.64,28.54,29.46,147830
4-Nov-13,29.55,29.79,29.18,29.46,218146
1-Nov-13,29.81,29.93,29.22,29.51,150296
31-Oct-13,29.14,29.93,28.49,29.64,167168
30-Oct-13,29.56,29.79,28.93,29.18,116756
29-Oct-13,29.45,29.78,29.00,29.47,154440
28-Oct-13,29.16,29.55,29.06,29.48,170393
25-Oct-13,29.25,29.48,28.85,29.06,125881
24-Oct-13,28.60,29.25,28.49,29.20,99094
23-Oct-13,29.00,29.37,28.37,28.58,179978
22-Oct-13,29.20,29.42,28.75,29.16,153953
21-Oct-13,29.83,30.14,29.08,29.19,144582
18-Oct-13,28.97,30.18,28.93,29.91,406946
17-Oct-13,28.40,28.90,28.27,28.84,207788
16-Oct-13,28.40,28.96,28.00,28.61,188860
15-Oct-13,28.19,28.49,27.73,28.26,245799
14-Oct-13,27.86,28.40,27.52,28.37,276585
11-Oct-13,27.16,28.08,26.84,27.97,228651
10-Oct-13,26.62,27.32,26.34,27.32,348032
9-Oct-13,27.00,27.00,25.88,26.37,350293
8-Oct-13,27.37,27.63,26.87,26.89,330580
7-Oct-13,27.62,27.77,27.25,27.36,277209
4-Oct-13,27.45,27.87,27.25,27.81,445503
3-Oct-13,27.85,27.92,27.20,27.33,199698
