Date,Open,High,Low,Close,Volume
31-Dec-13,3.31,3.38,3.31,3.37,57287
30-Dec-13,3.42,3.43,3.30,3.30,223233
27-Dec-13,3.16,3.38,3.16,3.38,109398
26-Dec-13,3.05,3.20,3.04,3.14,151281
24-Dec-13,3.04,3.09,2.98,3.05,75544
23-Dec-13,3.00,3.04,2.97,3.02,120625
20-Dec-13,3.04,3.05,2.91,3.01,121533
19-Dec-13,2.97,3.05,2.93,3.02,36212
18-Dec-13,3.00,3.02,2.91,2.98,51926
17-Dec-13,2.93,3.09,2.93,2.99,214492
16-Dec-13,2.89,3.00,2.89,2.94,75984
13-Dec-13,2.87,2.92,2.87,2.88,25480
12-Dec-13,2.90,2.91,2.85,2.89,58059
11-Dec-13,2.90,2.90,2.85,2.89,80345
10-Dec-13,2.94,2.96,2.88,2.90,81176
9-Dec-13,3.00,3.00,2.91,2.94,148704
6-Dec-13,2.97,3.00,2.88,2.96,202588
5-Dec-13,2.89,3.00,2.87,2.90,187018
4-Dec-13,2.86,2.92,2.82,2.86,133643
3-Dec-13,2.88,2.91,2.88,2.88,67927
2-Dec-13,2.83,2.89,2.81,2.88,194263
29-Nov-13,2.87,2.90,2.80,2.81,63727
27-Nov-13,2.89,2.90,2.80,2.83,108719
26-Nov-13,2.91,2.95,2.87,2.89,58126
25-Nov-13,2.91,2.95,2.85,2.90,117626
22-Nov-13,2.92,2.92,2.83,2.91,123703
21-Nov-13,2.92,2.92,2.88,2.91,53958
20-Nov-13,2.90,2.92,2.88,2.92,79366
19-Nov-13,2.85,2.97,2.84,2.87,115905
18-Nov-13,2.83,2.98,2.83,2.94,90914
15-Nov-13,2.83,2.87,2.83,2.84,56540
14-Nov-13,2.92,2.92,2.85,2.85,34950
13-Nov-13,2.90,2.93,2.82,2.89,52474
12-Nov-13,2.91,2.93,2.90,2.90,47162
11-Nov-13,2.92,2.94,2.90,2.93,29654
8-Nov-13,2.90,2.95,2.90,2.94,40039
7-Nov-13,2.91,2.93,2.91,2.92,155194
6-Nov-13,2.90,2.93,2.90,2.90,47156
5-Nov-13,2.94,2.95,2.90,2.90,72362
4-Nov-13,2.90,2.93,2.86,2.93,107647
1-Nov-13,2.96,2.97,2.87,2.87,120534
