Date,Open,High,Low,Close,Volume
31-Dec-13,124.00,126.00,122.00,125.00,2554
30-Dec-13,132.00,132.00,124.00,124.00,1128
27-Dec-13,130.00,130.00,124.00,128.00,732
26-Dec-13,122.00,130.00,120.00,130.00,1765
24-Dec-13,122.00,123.00,119.00,122.00,705
23-Dec-13,124.00,125.00,120.00,121.00,2125
20-Dec-13,123.00,126.90,120.00,124.00,1403
19-Dec-13,125.00,128.00,119.00,123.00,1769
18-Dec-13,129.00,130.00,117.00,120.00,4089
17-Dec-13,129.00,133.00,124.00,125.00,3045
16-Dec-13,142.00,144.00,124.00,126.00,7023
13-Dec-13,124.00,144.00,124.00,137.99,19622
12-Dec-13,119.00,124.00,118.00,124.00,2395
11-Dec-13,124.00,124.00,117.00,118.99,3758
10-Dec-13,122.00,122.99,117.00,117.00,711
9-Dec-13,124.00,124.00,116.00,117.50,4206
6-Dec-13,120.00,120.00,116.00,116.00,303
5-Dec-13,120.00,124.00,116.00,117.00,1114
4-Dec-13,122.00,124.00,119.00,120.02,2490
3-Dec-13,120.00,123.00,119.60,123.00,2686
2-Dec-13,124.00,124.00,115.00,123.00,5970
29-Nov-13,123.00,125.00,119.00,124.00,5743
27-Nov-13,128.00,128.00,108.70,120.00,19487
26-Nov-13,144.10,145.00,139.01,139.01,190
25-Nov-13,141.00,158.00,141.00,142.00,631
22-Nov-13,153.00,154.00,131.50,140.00,99
21-Nov-13,150.00,162.00,150.00,162.00,323
20-Nov-13,165.00,165.00,155.00,155.00,144
19-Nov-13,174.00,180.00,155.00,163.00,336
18-Nov-13,179.00,179.00,151.00,153.00,223
15-Nov-13,190.00,190.00,176.00,178.90,237
14-Nov-13,181.00,191.00,181.00,190.00,159
13-Nov-13,192.00,192.00,184.00,184.00,106
12-Nov-13,191.00,198.00,190.00,198.00,53
11-Nov-13,194.00,210.00,194.00,200.99,168
8-Nov-13,195.00,195.00,190.64,190.64,6
7-Nov-13,190.01,194.00,189.00,189.00,45
6-Nov-13,192.00,198.00,190.00,190.00,111
5-Nov-13,192.00,196.00,191.00,196.00,80
1-Nov-13,190.00,195.00,190.00,195.00,30
31-Oct-13,191.00,199.00,191.00,191.00,290
30-Oct-13,208.91,208.91,189.00,189.50,400
29-Oct-13,223.00,223.00,198.00,207.80,409
28-Oct-13,223.00,223.00,204.10,205.00,138
25-Oct-13,213.00,219.75,201.10,217.00,278
24-Oct-13,215.00,216.10,202.00,209.00,117
23-Oct-13,200.00,224.90,194.00,224.00,296
22-Oct-13,195.00,197.01,194.00,194.00,263
21-Oct-13,190.00,200.00,190.00,199.90,419
18-Oct-13,200.00,200.01,190.00,193.00,1022
17-Oct-13,207.00,207.01,186.00,206.00,2787
16-Oct-13,227.00,227.36,206.00,207.00,249
15-Oct-13,217.00,227.00,216.00,227.00,12
14-Oct-13,216.00,220.21,216.00,220.21,49
11-Oct-13,220.00,231.00,210.00,211.00,240
10-Oct-13,231.90,231.90,214.00,214.00,80
9-Oct-13,221.00,224.00,212.00,214.00,704
8-Oct-13,240.00,240.00,225.00,227.00,431
7-Oct-13,243.00,243.00,237.00,238.00,184
4-Oct-13,243.94,244.00,239.99,240.00,102
3-Oct-13,242.00,255.00,239.00,239.00,244
2-Oct-13,255.00,255.00,231.00,249.00,533
1-Oct-13,235.10,235.10,235.00,235.10,10
30-Sep-13,242.10,243.10,237.00,237.00,49
27-Sep-13,246.00,246.00,234.00,235.00,65
26-Sep-13,242.00,244.00,242.00,244.00,16
25-Sep-13,246.00,246.99,232.00,240.00,147
24-Sep-13,233.10,241.00,233.10,241.00,49
23-Sep-13,237.00,246.00,233.00,244.00,254
20-Sep-13,255.00,255.00,242.00,250.00,234
19-Sep-13,242.00,279.00,234.00,258.00,205
18-Sep-13,262.01,263.21,246.00,246.00,350
17-Sep-13,271.00,271.00,253.00,258.00,109
16-Sep-13,267.00,272.99,258.00,270.00,30
13-Sep-13,289.00,289.00,267.00,268.00,135
12-Sep-13,290.00,290.00,275.60,282.00,208
11-Sep-13,279.90,290.00,272.00,290.00,655
10-Sep-13,281.00,281.00,269.00,275.00,820
9-Sep-13,285.00,285.00,266.00,268.00,2138
6-Sep-13,249.00,255.00,200.00,255.00,11435
5-Sep-13,241.00,254.01,230.00,236.00,3403
4-Sep-13,244.00,244.00,224.40,230.00,689
3-Sep-13,252.00,255.00,237.00,240.00,380
30-Aug-13,295.00,295.00,248.00,250.00,1685
29-Aug-13,255.00,288.00,255.00,284.00,861
28-Aug-13,264.00,264.00,239.00,246.00,207
27-Aug-13,256.00,258.00,243.00,255.00,281
26-Aug-13,281.00,286.00,265.00,265.00,60
23-Aug-13,288.00,288.00,270.00,270.00,160
