Date,Open,High,Low,Close,Volume
31-Dec-13,1.70,1.71,1.64,1.67,294123
30-Dec-13,1.67,1.71,1.65,1.66,240460
27-Dec-13,1.69,1.74,1.67,1.68,176204
26-Dec-13,1.72,1.73,1.67,1.71,118846
24-Dec-13,1.66,1.71,1.66,1.70,136096
23-Dec-13,1.59,1.69,1.59,1.68,372983
20-Dec-13,1.57,1.60,1.54,1.59,240974
19-Dec-13,1.57,1.58,1.55,1.56,250595
18-Dec-13,1.52,1.58,1.52,1.57,101933
17-Dec-13,1.55,1.57,1.51,1.54,111428
16-Dec-13,1.56,1.59,1.52,1.54,251888
13-Dec-13,1.57,1.57,1.50,1.51,353480
12-Dec-13,1.60,1.61,1.55,1.55,333579
11-Dec-13,1.68,1.68,1.60,1.62,306707
10-Dec-13,1.70,1.70,1.61,1.67,455654
9-Dec-13,1.76,1.85,1.66,1.68,1340049
6-Dec-13,1.72,1.75,1.66,1.69,115330
5-Dec-13,1.72,1.74,1.70,1.70,103596
4-Dec-13,1.74,1.75,1.70,1.72,92627
3-Dec-13,1.70,1.77,1.70,1.73,309740
2-Dec-13,1.70,1.75,1.68,1.68,180917
29-Nov-13,1.70,1.75,1.68,1.72,176662
27-Nov-13,1.68,1.74,1.68,1.70,94870
26-Nov-13,1.68,1.75,1.67,1.71,293833
25-Nov-13,1.66,1.71,1.63,1.67,150939
22-Nov-13,1.64,1.66,1.63,1.63,63923
21-Nov-13,1.63,1.65,1.62,1.62,183023
20-Nov-13,1.64,1.67,1.62,1.64,48315
19-Nov-13,1.64,1.69,1.62,1.64,106739
18-Nov-13,1.70,1.72,1.63,1.65,114158
15-Nov-13,1.60,1.70,1.60,1.70,194979
14-Nov-13,1.64,1.68,1.63,1.63,89700
13-Nov-13,1.69,1.70,1.65,1.66,70660
12-Nov-13,1.71,1.71,1.62,1.68,123922
11-Nov-13,1.60,1.73,1.60,1.71,241801
8-Nov-13,1.60,1.62,1.59,1.61,142931
7-Nov-13,1.64,1.69,1.58,1.58,262282
6-Nov-13,1.73,1.75,1.65,1.66,331551
5-Nov-13,1.88,1.88,1.73,1.74,534837
4-Nov-13,1.73,1.86,1.73,1.73,443730
1-Nov-13,1.71,1.76,1.70,1.72,137489
31-Oct-13,1.74,1.74,1.70,1.70,98014
30-Oct-13,1.74,1.76,1.72,1.74,160566
29-Oct-13,1.75,1.75,1.71,1.72,143674
28-Oct-13,1.74,1.76,1.70,1.73,138724
25-Oct-13,1.72,1.75,1.71,1.73,156921
24-Oct-13,1.75,1.77,1.71,1.72,246224
23-Oct-13,1.73,1.74,1.71,1.73,131638
22-Oct-13,1.72,1.76,1.71,1.73,106425
21-Oct-13,1.74,1.77,1.69,1.71,268623
18-Oct-13,1.79,1.80,1.74,1.75,159186
17-Oct-13,1.75,1.79,1.73,1.78,140223
