Date,Open,High,Low,Close,Volume
31-Dec-13,1.34,1.39,1.33,1.34,96301
30-Dec-13,1.39,1.45,1.33,1.38,233598
27-Dec-13,1.33,1.42,1.31,1.36,310552
26-Dec-13,1.35,1.37,1.28,1.30,114256
24-Dec-13,1.35,1.38,1.28,1.37,243813
23-Dec-13,1.45,1.46,1.32,1.38,228528
20-Dec-13,1.39,1.49,1.39,1.47,332582
19-Dec-13,1.38,1.40,1.28,1.39,260913
18-Dec-13,1.45,1.46,1.29,1.40,482281
17-Dec-13,1.58,1.63,1.41,1.48,467234
16-Dec-13,1.70,1.70,1.47,1.58,411592
13-Dec-13,1.82,1.82,1.65,1.67,255813
12-Dec-13,1.70,1.87,1.67,1.76,321172
11-Dec-13,1.83,1.83,1.66,1.67,265209
10-Dec-13,1.62,1.84,1.50,1.83,586009
9-Dec-13,1.85,1.85,1.57,1.67,394897
6-Dec-13,1.85,1.88,1.67,1.82,729728
5-Dec-13,1.54,1.79,1.43,1.76,1048033
4-Dec-13,1.56,1.57,1.47,1.48,290507
3-Dec-13,1.48,1.59,1.40,1.58,455200
2-Dec-13,1.59,1.62,1.36,1.46,968271
29-Nov-13,1.23,1.59,1.22,1.59,1340919
27-Nov-13,1.23,1.25,1.19,1.21,77872
26-Nov-13,1.12,1.29,1.11,1.22,558348
25-Nov-13,1.14,1.15,1.10,1.15,59489
22-Nov-13,1.22,1.22,1.15,1.17,92986
21-Nov-13,1.16,1.23,1.16,1.22,125340
20-Nov-13,1.16,1.20,1.16,1.19,36852
19-Nov-13,1.18,1.20,1.16,1.17,23625
18-Nov-13,1.25,1.25,1.18,1.18,79367
15-Nov-13,1.25,1.28,1.16,1.28,86768
14-Nov-13,1.25,1.25,1.15,1.18,137281
13-Nov-13,1.11,1.30,1.10,1.30,127472
12-Nov-13,1.12,1.16,1.10,1.12,122692
11-Nov-13,1.18,1.18,1.14,1.15,28900
8-Nov-13,1.17,1.19,1.04,1.19,116575
7-Nov-13,1.25,1.25,1.17,1.17,91619
6-Nov-13,1.25,1.25,1.22,1.25,63205
5-Nov-13,1.25,1.30,1.18,1.24,62155
4-Nov-13,1.25,1.30,1.24,1.24,38617
1-Nov-13,1.25,1.25,1.22,1.25,46659
31-Oct-13,1.24,1.26,1.23,1.26,55141
30-Oct-13,1.25,1.29,1.22,1.25,117743
29-Oct-13,1.26,1.29,1.25,1.27,80427
28-Oct-13,1.21,1.40,1.20,1.30,458685
25-Oct-13,1.19,1.21,1.16,1.21,46405
24-Oct-13,1.18,1.20,1.15,1.19,103487
23-Oct-13,1.19,1.19,1.12,1.19,118702
22-Oct-13,1.18,1.19,1.14,1.19,99968
21-Oct-13,1.16,1.19,1.11,1.18,173472
18-Oct-13,1.16,1.17,1.09,1.16,95526
