Date,Open,High,Low,Close,Volume
31-Dec-13,15.29,17.00,15.18,16.89,464786
30-Dec-13,15.18,15.28,14.92,15.15,197057
27-Dec-13,14.80,15.45,14.45,14.96,327903
26-Dec-13,14.22,14.68,14.21,14.53,244687
24-Dec-13,14.00,14.29,13.92,14.20,124538
23-Dec-13,13.42,14.32,13.25,13.90,342710
20-Dec-13,13.06,13.25,12.82,13.18,151569
19-Dec-13,13.17,13.58,12.45,12.98,232876
18-Dec-13,13.20,13.94,13.09,13.14,736654
17-Dec-13,11.75,13.21,11.69,13.05,833095
16-Dec-13,10.70,11.83,10.70,11.69,264250
13-Dec-13,10.51,10.87,10.44,10.66,91753
12-Dec-13,10.34,10.72,10.00,10.56,109261
11-Dec-13,10.38,10.52,9.95,10.31,93748
10-Dec-13,10.35,10.69,10.12,10.42,105272
9-Dec-13,10.95,10.95,10.10,10.43,212288
6-Dec-13,11.99,11.99,10.81,10.96,225462
5-Dec-13,11.63,12.10,11.54,11.58,157947
4-Dec-13,10.91,12.13,10.91,11.53,265390
3-Dec-13,10.94,11.24,10.70,10.82,129002
2-Dec-13,12.33,12.50,10.56,11.02,394126
29-Nov-13,11.58,12.36,11.57,12.19,121757
27-Nov-13,11.53,12.40,11.51,11.61,386725
26-Nov-13,10.92,11.84,10.65,11.63,499124
25-Nov-13,9.54,11.17,9.54,10.96,814459
22-Nov-13,9.19,9.55,9.19,9.45,61446
21-Nov-13,9.21,9.32,8.92,9.26,82803
20-Nov-13,9.28,9.53,9.04,9.15,66209
19-Nov-13,9.46,9.49,9.02,9.19,143305
18-Nov-13,9.97,10.25,8.90,9.18,233031
15-Nov-13,9.60,10.07,9.41,9.90,124841
14-Nov-13,10.05,10.35,9.60,9.69,167087
13-Nov-13,10.05,10.50,10.03,10.12,169289
12-Nov-13,10.04,10.38,9.75,10.18,219454
11-Nov-13,9.87,11.50,9.82,10.19,486758
8-Nov-13,7.95,9.50,7.95,9.35,333697
7-Nov-13,7.91,8.32,7.68,7.80,235438
6-Nov-13,8.58,8.71,8.06,8.11,103966
5-Nov-13,8.65,9.00,8.43,8.56,77531
4-Nov-13,7.95,8.85,7.95,8.79,136458
1-Nov-13,8.33,8.47,7.95,8.02,78055
31-Oct-13,8.00,8.34,7.82,8.32,173907
30-Oct-13,8.45,8.55,8.00,8.05,179327
29-Oct-13,8.13,8.41,7.79,8.36,107018
28-Oct-13,8.73,8.81,8.11,8.15,130375
25-Oct-13,8.32,9.43,8.32,8.83,391723
24-Oct-13,8.31,8.45,7.70,8.34,455442
23-Oct-13,9.43,9.46,8.21,8.46,480066
22-Oct-13,9.98,10.06,9.57,9.61,152431
21-Oct-13,9.70,10.19,9.53,9.97,283079
18-Oct-13,10.01,10.34,9.45,9.77,331478
17-Oct-13,10.02,10.78,9.73,9.95,403783
16-Oct-13,9.45,10.04,9.18,10.01,325719
15-Oct-13,9.61,9.77,9.20,9.32,265236
14-Oct-13,9.04,9.54,8.65,9.39,329286
11-Oct-13,9.00,10.17,9.00,9.13,615448
10-Oct-13,8.27,8.97,8.27,8.94,316460
9-Oct-13,8.30,8.39,7.61,8.16,344870
8-Oct-13,8.54,9.22,8.11,8.26,474546
7-Oct-13,7.59,8.94,7.50,8.46,456972
4-Oct-13,6.69,7.84,6.62,7.67,310829
3-Oct-13,6.95,7.00,6.53,6.76,192688
2-Oct-13,7.18,7.18,6.90,7.03,159030
1-Oct-13,7.15,7.30,7.00,7.05,171619
30-Sep-13,6.90,7.50,6.65,7.20,245619
27-Sep-13,6.99,7.20,6.81,7.01,178311
26-Sep-13,6.59,7.29,6.59,6.97,316272
25-Sep-13,6.42,6.62,6.30,6.54,75028
24-Sep-13,6.55,6.74,6.30,6.40,102899
23-Sep-13,6.43,6.89,6.31,6.48,203108
20-Sep-13,6.60,7.07,6.35,6.65,427984
19-Sep-13,5.90,6.68,5.90,6.56,398896
18-Sep-13,5.92,6.00,5.81,5.90,100496
17-Sep-13,5.75,6.11,5.75,5.93,284485
16-Sep-13,5.90,5.90,5.70,5.77,81616
13-Sep-13,5.80,5.85,5.63,5.81,93216
12-Sep-13,5.90,5.90,5.51,5.80,170730
11-Sep-13,5.98,5.98,5.57,5.89,195276
10-Sep-13,6.00,6.25,5.81,5.92,552973
9-Sep-13,5.05,6.11,4.90,5.86,1069711
6-Sep-13,4.54,4.89,4.46,4.70,183913
5-Sep-13,4.25,4.65,4.07,4.46,147051
4-Sep-13,4.22,4.30,4.08,4.23,42085
3-Sep-13,4.10,4.29,4.06,4.22,59240
30-Aug-13,4.05,4.15,3.89,4.14,84991
29-Aug-13,4.20,4.50,3.95,4.10,325017
28-Aug-13,3.50,4.35,3.50,4.15,548913
27-Aug-13,3.32,3.38,3.25,3.27,15544
26-Aug-13,3.34,3.40,3.28,3.34,30229
23-Aug-13,3.30,3.34,3.11,3.27,30052
22-Aug-13,3.36,3.39,3.30,3.30,10806
21-Aug-13,3.43,3.43,3.31,3.35,43625
20-Aug-13,3.43,3.47,3.30,3.40,15353
19-Aug-13,3.45,3.59,3.45,3.48,62298
16-Aug-13,3.61,3.64,3.44,3.44,28029
15-Aug-13,3.53,3.64,3.50,3.58,8930
14-Aug-13,3.53,3.67,3.53,3.56,7279
13-Aug-13,3.61,3.61,3.50,3.55,49815
12-Aug-13,3.64,3.72,3.59,3.62,22994
9-Aug-13,3.63,3.73,3.57,3.69,21347
8-Aug-13,3.57,3.61,3.57,3.61,9737
7-Aug-13,3.52,3.66,3.46,3.52,18503
6-Aug-13,3.55,3.64,3.51,3.59,23430
5-Aug-13,3.60,3.64,3.48,3.50,32914
2-Aug-13,3.60,3.64,3.57,3.64,21458
1-Aug-13,3.54,3.72,3.51,3.56,12729
31-Jul-13,3.65,3.65,3.50,3.51,40506
30-Jul-13,3.65,3.65,3.59,3.61,13383
29-Jul-13,3.66,3.69,3.58,3.62,21298
26-Jul-13,3.57,3.69,3.57,3.63,24541
25-Jul-13,3.63,3.68,3.60,3.67,16011
24-Jul-13,3.63,3.67,3.57,3.63,24554
23-Jul-13,3.51,3.62,3.51,3.59,9305
22-Jul-13,3.55,3.58,3.50,3.54,5458
19-Jul-13,3.50,3.62,3.47,3.50,8151
18-Jul-13,3.52,3.57,3.47,3.49,87970
17-Jul-13,3.69,3.69,3.50,3.60,14409
16-Jul-13,3.66,3.68,3.49,3.66,57204
15-Jul-13,3.65,3.71,3.63,3.69,56503
12-Jul-13,3.65,3.68,3.60,3.68,18681
11-Jul-13,3.57,3.68,3.47,3.65,84445
10-Jul-13,3.57,3.61,3.55,3.58,24556
9-Jul-13,3.59,3.61,3.47,3.59,65863
8-Jul-13,3.61,3.62,3.52,3.54,21279
5-Jul-13,3.71,3.71,3.58,3.65,25408
3-Jul-13,3.75,3.75,3.71,3.71,12050
2-Jul-13,3.78,3.82,3.75,3.78,13966
1-Jul-13,3.81,3.91,3.78,3.81,17808
28-Jun-13,3.85,3.89,3.79,3.89,32677
27-Jun-13,3.85,3.91,3.84,3.88,22714
