Date,Open,High,Low,Close,Volume
30-Dec-13,15.30,15.40,15.30,15.40,5106
27-Dec-13,15.21,15.35,15.21,15.35,502
26-Dec-13,15.12,15.12,15.11,15.12,1170
23-Dec-13,15.40,15.40,15.13,15.25,2795
20-Dec-13,15.45,15.45,15.44,15.44,2349
19-Dec-13,15.06,15.35,15.06,15.21,1055
18-Dec-13,15.30,15.35,14.88,15.26,4399
17-Dec-13,15.39,15.51,15.31,15.31,11058
16-Dec-13,15.37,15.41,15.37,15.40,3095
13-Dec-13,15.51,15.51,15.34,15.34,6628
12-Dec-13,15.44,15.58,15.35,15.58,51309
11-Dec-13,15.34,15.34,15.34,15.34,545
10-Dec-13,15.52,15.52,15.25,15.34,3101
9-Dec-13,15.58,15.60,15.41,15.41,877
6-Dec-13,15.39,15.60,15.39,15.57,12848
5-Dec-13,15.25,15.59,15.25,15.36,28410
4-Dec-13,15.20,15.22,15.20,15.20,2150
3-Dec-13,15.38,15.40,15.19,15.39,2094
2-Dec-13,15.29,15.40,15.06,15.40,4098
29-Nov-13,15.40,15.40,15.09,15.26,3900
27-Nov-13,15.20,15.59,15.17,15.17,4194
26-Nov-13,15.20,15.40,15.20,15.20,1757
25-Nov-13,15.10,15.25,14.90,15.24,5906
22-Nov-13,14.94,15.15,14.94,15.10,1300
21-Nov-13,15.00,15.00,14.88,14.88,1200
20-Nov-13,15.00,15.03,15.00,15.03,1735
19-Nov-13,14.80,15.05,14.80,15.00,404910
18-Nov-13,14.99,15.20,14.99,15.15,6303
15-Nov-13,14.98,15.00,14.94,15.00,6394
14-Nov-13,14.90,14.95,14.80,14.95,90755
13-Nov-13,14.70,14.89,14.70,14.89,13400
12-Nov-13,14.75,14.77,14.55,14.65,18608
11-Nov-13,14.93,14.93,14.80,14.80,6300
8-Nov-13,14.85,14.94,14.85,14.94,10100
7-Nov-13,14.95,14.95,14.82,14.82,25300
6-Nov-13,14.84,14.95,14.84,14.95,6769
4-Nov-13,14.75,14.75,14.75,14.75,700
1-Nov-13,14.75,14.75,14.75,14.75,28000
31-Oct-13,14.50,14.51,14.50,14.50,308
30-Oct-13,14.70,14.70,14.54,14.59,8904
29-Oct-13,14.72,14.72,14.72,14.72,100
28-Oct-13,14.76,14.89,14.74,14.85,2398
25-Oct-13,14.60,14.72,14.60,14.72,300
24-Oct-13,14.60,14.61,14.60,14.60,950
23-Oct-13,14.86,14.86,14.86,14.86,100
21-Oct-13,14.65,14.65,14.65,14.65,100
18-Oct-13,14.90,14.90,14.35,14.50,3496
16-Oct-13,14.50,14.94,14.50,14.92,19178
15-Oct-13,14.71,14.78,14.71,14.78,600
14-Oct-13,14.81,14.81,14.81,14.81,300
11-Oct-13,14.41,14.95,14.41,14.90,12700
10-Oct-13,14.80,14.86,14.65,14.86,2000
9-Oct-13,14.79,14.79,14.79,14.79,452
7-Oct-13,14.75,14.79,14.36,14.79,2269
4-Oct-13,14.50,14.95,14.50,14.64,3777
3-Oct-13,14.46,14.50,14.35,14.40,1421
2-Oct-13,14.49,14.49,14.49,14.49,400
1-Oct-13,14.50,14.50,14.50,14.50,361
30-Sep-13,14.50,14.50,14.50,14.50,44200
27-Sep-13,14.25,14.55,14.25,14.55,22754
26-Sep-13,14.23,14.23,14.23,14.23,100
25-Sep-13,14.36,14.42,14.10,14.27,11196
23-Sep-13,14.55,14.99,14.52,14.52,1813
20-Sep-13,14.66,14.66,14.66,14.66,714
17-Sep-13,14.69,14.69,14.38,14.40,400
16-Sep-13,14.88,14.99,14.40,14.40,4080
11-Sep-13,14.49,14.49,14.49,14.49,100
10-Sep-13,14.63,14.63,14.63,14.63,300
9-Sep-13,14.64,14.90,14.27,14.61,24270
6-Sep-13,14.27,14.98,14.27,14.50,3592
5-Sep-13,14.30,14.34,14.29,14.34,600
4-Sep-13,14.44,14.44,14.29,14.29,866
3-Sep-13,14.71,14.71,14.31,14.31,1039
30-Aug-13,15.00,15.00,14.25,14.93,217054
29-Aug-13,15.25,15.25,15.25,15.25,300
26-Aug-13,14.45,14.65,14.45,14.65,401
23-Aug-13,14.94,14.97,14.26,14.26,1400
22-Aug-13,15.00,15.00,15.00,15.00,100
20-Aug-13,14.25,14.70,14.25,14.70,1650
16-Aug-13,14.51,14.51,14.46,14.50,400
15-Aug-13,14.59,14.59,14.35,14.35,200
14-Aug-13,14.53,14.60,14.35,14.48,2420
12-Aug-13,15.00,15.00,14.36,14.60,1741
7-Aug-13,14.90,15.40,14.90,14.95,1500
6-Aug-13,14.94,14.94,14.80,14.80,2431
5-Aug-13,14.60,14.80,14.60,14.80,200
2-Aug-13,15.09,15.23,14.07,14.40,19018
1-Aug-13,14.30,15.25,14.30,15.25,45410
31-Jul-13,14.89,14.90,14.40,14.78,5924
30-Jul-13,14.82,14.94,14.82,14.94,396
26-Jul-13,14.53,15.50,14.51,14.75,10547
25-Jul-13,14.50,14.60,14.50,14.55,1757
24-Jul-13,14.66,14.70,14.26,14.50,2083
23-Jul-13,14.58,14.68,14.33,14.35,1100
22-Jul-13,14.67,14.67,14.36,14.36,600
18-Jul-13,14.30,14.41,14.25,14.25,914
17-Jul-13,14.25,14.41,14.25,14.31,2000
16-Jul-13,14.50,14.50,14.50,14.50,1002
15-Jul-13,14.46,14.47,14.31,14.47,904
3-Jul-13,14.64,14.64,14.38,14.38,444
27-Jun-13,13.79,14.70,13.79,14.61,17006
26-Jun-13,13.88,13.88,13.88,13.88,142
25-Jun-13,13.59,13.59,13.50,13.58,2213
24-Jun-13,14.06,14.06,13.60,13.60,25204
21-Jun-13,13.92,13.92,13.92,13.92,679
19-Jun-13,13.59,13.59,13.59,13.59,100
18-Jun-13,13.59,13.66,13.59,13.60,4182
17-Jun-13,13.61,13.70,13.59,13.59,4900
14-Jun-13,13.95,13.95,13.65,13.65,719
13-Jun-13,13.96,14.02,13.95,13.95,1961
11-Jun-13,13.60,13.60,13.58,13.59,2875
10-Jun-13,13.67,14.10,13.67,13.74,1700
7-Jun-13,13.67,13.68,13.67,13.68,718
6-Jun-13,13.71,13.71,13.50,13.50,1975
5-Jun-13,-,13.94,13.94,13.94,194
31-May-13,13.73,13.87,13.73,13.87,25304
29-May-13,13.74,13.74,13.74,13.74,181
28-May-13,13.72,13.72,13.72,13.72,100
23-May-13,13.80,13.81,13.70,13.81,1817
22-May-13,13.75,13.75,13.75,13.75,300
21-May-13,14.00,14.00,14.00,14.00,100
17-May-13,13.70,13.70,13.70,13.70,100
14-May-13,13.79,13.79,13.71,13.71,1506
13-May-13,13.53,13.85,13.50,13.85,1999
8-May-13,13.45,13.74,13.45,13.74,200
7-May-13,13.35,13.35,13.35,13.35,100
6-May-13,13.50,14.72,13.50,13.50,7969
3-May-13,13.72,13.74,13.36,13.39,1055
2-May-13,13.62,13.62,13.60,13.60,500
1-May-13,13.51,13.51,13.51,13.51,1000
30-Apr-13,13.50,13.59,13.50,13.59,18340
29-Apr-13,13.70,13.70,13.70,13.70,250
26-Apr-13,13.52,13.52,13.52,13.52,100
25-Apr-13,13.45,13.50,13.45,13.50,620
24-Apr-13,13.29,13.30,13.29,13.30,400
23-Apr-13,13.25,13.28,13.25,13.28,420
19-Apr-13,13.93,14.10,13.20,13.25,2475
17-Apr-13,13.65,13.85,13.17,13.75,4960
16-Apr-13,13.21,13.55,13.21,13.23,1044
15-Apr-13,13.45,13.45,13.45,13.45,300
10-Apr-13,13.55,13.55,13.55,13.55,100
9-Apr-13,13.52,13.52,13.52,13.52,100
5-Apr-13,13.15,13.15,13.15,13.15,123
4-Apr-13,13.10,13.10,13.10,13.10,100
3-Apr-13,13.10,13.10,13.10,13.10,300
2-Apr-13,13.09,13.09,13.09,13.09,200
1-Apr-13,13.20,13.20,13.16,13.20,10900
28-Mar-13,13.35,13.35,13.35,13.35,475
26-Mar-13,13.34,13.35,13.33,13.33,1299
25-Mar-13,13.17,13.17,13.17,13.17,100
21-Mar-13,13.15,13.33,13.15,13.33,25600
19-Mar-13,13.18,13.18,13.18,13.18,100
18-Mar-13,13.11,13.13,13.11,13.11,700
15-Mar-13,13.27,13.27,13.27,13.27,263
13-Mar-13,13.14,13.14,13.14,13.14,300
12-Mar-13,13.07,13.14,13.04,13.14,510
8-Mar-13,13.21,13.21,13.21,13.21,100
7-Mar-13,13.11,13.25,13.08,13.25,1678
6-Mar-13,13.11,13.13,13.11,13.13,581
5-Mar-13,13.13,13.13,13.13,13.13,100
