Date,Open,High,Low,Close,Volume
31-Dec-13,35.70,36.00,34.50,34.80,9418
30-Dec-13,35.55,37.20,35.40,36.15,10496
27-Dec-13,36.90,36.90,35.25,35.85,5825
26-Dec-13,39.30,39.90,36.30,37.35,20371
24-Dec-13,42.15,44.25,37.50,39.00,78170
23-Dec-13,36.75,36.75,33.90,35.10,13483
20-Dec-13,32.40,33.00,32.25,32.70,8022
19-Dec-13,33.30,33.45,32.40,32.55,4506
18-Dec-13,33.45,35.08,33.45,33.60,4325
17-Dec-13,34.50,34.50,33.00,33.90,6647
16-Dec-13,35.25,35.25,33.75,34.95,11678
13-Dec-13,37.80,38.07,30.75,35.70,43645
12-Dec-13,40.95,44.25,37.65,41.25,20361
11-Dec-13,43.50,44.70,39.75,42.15,15590
10-Dec-13,46.50,46.50,43.50,44.10,17904
9-Dec-13,40.35,46.50,38.25,45.60,47529
6-Dec-13,37.05,40.95,36.06,39.75,18542
5-Dec-13,36.60,37.20,35.74,36.60,4201
4-Dec-13,34.95,37.35,34.05,36.00,7408
3-Dec-13,35.40,35.40,33.60,34.65,6472
2-Dec-13,34.65,36.00,34.65,35.10,4911
29-Nov-13,36.00,36.15,34.65,34.65,3235
27-Nov-13,35.55,36.75,34.80,35.70,10583
26-Nov-13,35.25,36.15,34.80,35.25,4653
25-Nov-13,35.40,36.60,34.35,35.25,9555
22-Nov-13,37.35,38.10,34.20,35.40,14036
21-Nov-13,37.50,41.25,35.40,36.75,22982
20-Nov-13,36.30,39.75,35.85,37.50,14616
19-Nov-13,38.25,39.75,35.25,36.75,42224
18-Nov-13,31.50,40.95,31.50,40.65,84605
15-Nov-13,31.95,32.85,30.75,31.80,7521
14-Nov-13,30.45,33.00,30.00,32.10,16920
13-Nov-13,31.65,31.65,29.10,29.85,8347
12-Nov-13,31.20,33.00,30.75,32.10,12805
11-Nov-13,30.15,30.76,30.00,30.30,1258
8-Nov-13,29.70,30.75,28.80,30.45,3549
7-Nov-13,29.85,30.75,29.70,29.70,5944
6-Nov-13,30.60,31.35,30.00,30.00,2846
5-Nov-13,31.50,31.50,29.70,30.75,8509
4-Nov-13,31.80,33.90,29.40,31.50,31917
1-Nov-13,26.55,31.50,26.10,31.50,46146
31-Oct-13,26.10,26.85,26.10,26.40,3989
30-Oct-13,26.55,27.00,26.10,26.25,5678
29-Oct-13,27.45,27.45,26.25,26.40,11492
28-Oct-13,26.70,27.30,26.10,27.00,10505
25-Oct-13,26.70,27.45,26.40,26.70,9291
24-Oct-13,27.60,28.35,26.25,26.70,17274
23-Oct-13,28.05,28.05,26.25,27.15,16325
22-Oct-13,28.65,29.09,27.15,27.60,14587
21-Oct-13,30.15,30.75,27.92,28.80,14604
18-Oct-13,31.20,31.20,30.08,30.60,4556
17-Oct-13,30.45,31.20,29.25,30.75,15311
16-Oct-13,30.75,31.80,30.45,30.45,17501
15-Oct-13,30.60,31.65,29.70,30.75,15677
14-Oct-13,28.20,32.25,28.05,30.45,34188
11-Oct-13,30.30,30.45,27.75,28.50,31564
10-Oct-13,31.35,33.75,30.45,30.60,33562
9-Oct-13,36.30,36.90,28.65,31.80,85912
8-Oct-13,40.50,42.00,36.15,36.75,80493
7-Oct-13,38.40,47.70,38.10,42.75,246525
4-Oct-13,79.20,81.00,75.60,79.80,27612
3-Oct-13,83.25,83.25,79.50,79.65,13397
2-Oct-13,86.40,86.40,82.65,83.55,10562
1-Oct-13,84.30,87.30,83.55,86.40,13289
30-Sep-13,84.90,86.10,82.23,84.30,12749
27-Sep-13,83.40,85.80,82.50,83.85,12324
26-Sep-13,83.70,87.00,82.50,84.45,13461
25-Sep-13,83.25,85.50,81.30,82.80,17387
24-Sep-13,81.45,87.60,81.30,84.30,18176
23-Sep-13,85.80,85.80,80.25,82.05,28018
20-Sep-13,91.05,91.35,85.80,85.80,25406
19-Sep-13,93.60,93.75,85.50,90.00,62900
18-Sep-13,93.75,116.25,88.80,90.00,559367
17-Sep-13,72.60,75.60,72.60,74.40,4531
16-Sep-13,72.15,73.50,71.10,73.05,6905
13-Sep-13,70.05,73.80,69.90,72.15,5390
12-Sep-13,73.50,73.50,68.55,70.50,13342
11-Sep-13,75.00,77.55,71.40,72.90,13509
10-Sep-13,74.40,78.00,73.50,78.00,15692
9-Sep-13,73.20,74.68,69.00,74.10,7111
6-Sep-13,73.20,76.34,71.25,72.75,20438
5-Sep-13,68.70,69.90,67.50,69.00,6594
4-Sep-13,67.50,69.00,66.30,68.70,2939
3-Sep-13,69.75,69.75,66.90,67.20,4352
30-Aug-13,67.50,76.20,67.50,69.00,20659
29-Aug-13,66.90,67.80,66.75,67.50,1005
28-Aug-13,66.30,66.75,66.00,66.15,1436
27-Aug-13,67.80,67.80,64.65,67.50,2053
26-Aug-13,68.85,68.94,66.15,67.95,3948
23-Aug-13,65.85,68.10,64.39,67.95,4446
22-Aug-13,66.45,67.50,64.20,66.00,1723
21-Aug-13,67.35,67.35,64.50,65.70,1873
20-Aug-13,65.55,67.65,64.35,67.50,1834
19-Aug-13,65.40,66.28,64.20,65.85,4147
16-Aug-13,67.95,69.97,66.00,66.00,1679
15-Aug-13,70.50,70.50,66.60,68.10,2601
14-Aug-13,70.50,72.45,68.70,70.50,3886
13-Aug-13,73.95,73.95,70.55,70.95,2565
12-Aug-13,68.40,74.40,68.40,73.50,9477
9-Aug-13,67.50,69.15,65.40,69.00,4291
8-Aug-13,69.75,71.40,67.50,68.55,7460
7-Aug-13,64.20,69.75,63.75,69.30,6896
6-Aug-13,66.07,66.15,63.30,63.60,5152
5-Aug-13,69.00,69.00,66.15,66.75,5206
2-Aug-13,69.00,70.33,67.50,68.85,5249
1-Aug-13,70.95,71.25,69.02,70.50,2229
31-Jul-13,70.65,71.55,69.75,71.25,549
30-Jul-13,72.45,72.75,69.30,70.65,2535
29-Jul-13,68.55,73.04,68.55,72.45,2870
26-Jul-13,69.90,69.90,67.80,68.70,3409
25-Jul-13,69.90,70.50,67.50,70.35,2337
24-Jul-13,70.50,70.50,69.00,69.65,3240
23-Jul-13,71.25,71.25,67.95,71.10,3015
22-Jul-13,72.60,72.74,70.50,70.50,2975
19-Jul-13,72.75,73.80,71.25,72.75,4239
18-Jul-13,70.50,73.05,69.15,73.05,3080
17-Jul-13,73.50,73.80,70.50,72.15,5451
16-Jul-13,74.85,75.59,72.45,73.25,3578
15-Jul-13,73.95,74.70,73.20,73.80,3757
12-Jul-13,73.05,74.10,71.25,73.05,2358
11-Jul-13,74.25,74.25,71.55,72.60,2722
10-Jul-13,72.15,74.70,71.10,74.70,5319
9-Jul-13,75.00,75.00,72.45,72.75,4855
8-Jul-13,76.95,76.95,74.68,75.00,4634
5-Jul-13,75.30,77.40,74.25,77.40,2708
3-Jul-13,77.10,77.70,74.40,75.75,2317
2-Jul-13,74.10,77.10,72.75,77.10,2951
1-Jul-13,78.30,78.30,73.65,75.30,4808
28-Jun-13,72.90,78.00,72.15,78.00,6302
27-Jun-13,72.15,73.20,71.70,72.90,2969
26-Jun-13,74.25,75.15,70.50,72.75,4380
25-Jun-13,77.85,77.85,72.90,73.50,8884
24-Jun-13,76.35,77.85,72.45,77.85,9519
21-Jun-13,76.50,77.55,72.45,75.30,9346
20-Jun-13,77.25,80.85,74.46,76.20,16976
19-Jun-13,69.06,74.85,69.06,73.05,2753
18-Jun-13,71.25,72.75,67.80,70.35,5139
17-Jun-13,78.00,80.10,70.50,71.85,9195
14-Jun-13,75.15,75.16,71.12,72.60,5094
13-Jun-13,76.50,76.50,75.30,75.30,2965
12-Jun-13,78.90,78.90,75.15,76.05,4443
11-Jun-13,76.50,80.70,76.50,78.60,4974
10-Jun-13,79.50,84.00,75.80,81.00,17208
7-Jun-13,75.30,78.75,73.35,78.75,15172
6-Jun-13,75.60,78.45,71.85,73.65,5581
5-Jun-13,64.05,75.75,61.65,73.35,17172
4-Jun-13,68.10,68.55,63.90,64.65,5280
3-Jun-13,66.90,69.60,63.00,68.70,6338
31-May-13,72.00,75.30,65.10,66.90,9621
30-May-13,75.15,76.06,71.25,71.25,8141
29-May-13,75.90,76.50,74.70,74.85,7028
28-May-13,76.80,77.85,75.91,76.80,1928
24-May-13,77.25,79.05,76.35,76.95,3206
23-May-13,77.25,78.75,76.50,76.95,3090
22-May-13,76.05,82.50,76.05,79.20,4974
21-May-13,75.98,79.05,75.75,76.35,5746
20-May-13,77.25,78.28,75.45,75.75,6222
17-May-13,79.20,80.25,75.60,77.55,8404
16-May-13,80.70,83.70,78.30,78.90,7338
15-May-13,85.50,89.10,78.00,81.75,22300
14-May-13,75.75,93.45,75.75,84.60,46057
13-May-13,75.00,80.25,73.06,76.95,12507
10-May-13,75.00,79.50,71.25,76.20,19293
9-May-13,77.55,82.95,75.15,75.30,15884
8-May-13,82.50,82.95,73.95,76.65,47606
7-May-13,97.95,97.95,81.45,85.35,28834
6-May-13,104.25,104.25,98.40,98.92,4896
3-May-13,106.20,109.50,102.75,102.75,6943
2-May-13,107.25,111.60,102.30,105.00,7688
1-May-13,99.45,111.00,99.45,104.10,6811
30-Apr-13,105.00,107.25,99.30,100.20,3874
29-Apr-13,101.55,108.60,98.40,106.05,6580
26-Apr-13,112.65,112.65,102.75,103.05,9204
25-Apr-13,116.55,117.00,109.05,111.90,4607
24-Apr-13,117.60,127.80,115.95,117.00,5305
23-Apr-13,118.20,125.19,116.40,117.00,3353
22-Apr-13,122.25,122.25,114.76,116.55,4224
19-Apr-13,138.60,138.60,121.80,122.85,4683
18-Apr-13,143.10,144.00,131.40,136.65,3424
17-Apr-13,135.75,143.85,135.15,143.85,5170
16-Apr-13,132.00,137.99,131.25,135.15,1940
15-Apr-13,129.45,134.85,120.75,132.60,2753
12-Apr-13,134.25,134.25,127.50,129.00,921
11-Apr-13,139.65,141.00,127.65,131.55,2474
10-Apr-13,135.60,147.98,135.60,139.65,5217
9-Apr-13,116.25,135.30,116.25,133.80,5921
8-Apr-13,120.45,120.45,112.72,114.90,2891
5-Apr-13,121.65,122.02,115.42,120.30,3187
4-Apr-13,120.00,127.19,117.75,124.35,3038
3-Apr-13,137.55,139.20,119.85,120.00,5273
2-Apr-13,132.75,138.75,132.30,136.35,1799
1-Apr-13,133.20,140.55,129.75,132.75,3992
28-Mar-13,120.00,139.59,117.00,131.25,13955
27-Mar-13,169.20,169.54,141.30,143.25,17595
26-Mar-13,172.05,179.94,169.50,169.54,4688
25-Mar-13,180.00,183.75,168.75,170.25,9989
22-Mar-13,165.00,175.20,161.25,165.75,10529
21-Mar-13,160.80,168.15,152.70,164.10,13295
20-Mar-13,185.40,185.40,150.08,158.70,32140
19-Mar-13,141.90,186.00,140.25,185.55,62576
18-Mar-13,115.65,138.60,111.00,138.15,32127
15-Mar-13,97.80,123.75,96.75,111.00,34391
14-Mar-13,105.00,105.00,96.75,99.90,6720
13-Mar-13,102.15,141.75,102.15,103.95,30220
12-Mar-13,93.00,100.18,93.00,99.00,115
11-Mar-13,105.00,105.00,95.70,98.50,417
8-Mar-13,93.00,104.25,93.00,103.80,927
7-Mar-13,96.00,98.10,93.00,95.40,1695
6-Mar-13,99.15,99.15,96.75,96.90,233
5-Mar-13,104.85,105.00,96.75,96.90,527
4-Mar-13,103.05,103.66,99.44,101.25,186
1-Mar-13,101.10,101.55,99.90,101.25,199
28-Feb-13,98.40,103.74,94.50,96.00,413
27-Feb-13,95.85,101.10,91.50,96.75,581
26-Feb-13,101.25,101.25,93.30,95.40,489
25-Feb-13,104.10,104.10,97.65,98.10,2291
22-Feb-13,105.15,105.15,97.50,103.90,483
21-Feb-13,106.35,106.35,96.75,105.30,749
20-Feb-13,104.10,124.50,98.25,99.75,1656
19-Feb-13,109.20,109.20,98.40,98.73,839
15-Feb-13,111.90,111.90,98.55,107.10,1005
14-Feb-13,106.95,107.70,101.25,101.55,1214
13-Feb-13,126.30,134.85,101.55,105.00,4149
12-Feb-13,93.00,119.98,93.00,119.25,4642
11-Feb-13,89.70,95.25,89.70,95.25,601
8-Feb-13,88.05,88.50,85.50,88.50,578
7-Feb-13,86.85,88.20,86.25,88.20,265
6-Feb-13,84.45,85.35,81.00,85.35,922
5-Feb-13,78.60,84.00,78.60,82.50,1646
4-Feb-13,76.50,79.48,75.00,76.50,412
1-Feb-13,78.15,80.85,77.25,80.40,659
31-Jan-13,75.45,78.60,75.15,78.60,160
30-Jan-13,79.65,79.65,75.00,75.45,454
29-Jan-13,73.05,82.95,69.45,76.90,428
28-Jan-13,69.30,74.85,64.50,70.65,2818
25-Jan-13,66.15,66.15,63.75,65.36,305
24-Jan-13,67.65,67.65,65.25,66.90,420
23-Jan-13,64.42,64.42,64.16,64.16,25
22-Jan-13,67.50,68.70,63.90,63.90,82
18-Jan-13,68.85,68.85,65.25,66.22,103
17-Jan-13,69.00,69.00,62.40,62.40,370
16-Jan-13,67.50,69.90,67.50,67.64,1097
15-Jan-13,66.69,66.69,64.50,66.60,284
14-Jan-13,64.29,66.00,63.00,63.75,622
11-Jan-13,64.95,64.95,62.25,62.85,117
10-Jan-13,63.00,63.00,60.90,60.90,141
9-Jan-13,62.40,62.85,62.40,62.85,32
8-Jan-13,59.40,63.00,59.40,62.10,1021
7-Jan-13,63.00,63.00,57.60,59.25,760
4-Jan-13,64.80,64.80,60.90,61.50,200
3-Jan-13,58.50,64.65,58.50,64.65,813
2-Jan-13,59.85,59.85,56.55,57.00,129
31-Dec-12,59.55,60.00,58.50,58.50,463
28-Dec-12,60.75,65.76,60.30,65.76,311
27-Dec-12,65.10,66.39,54.06,60.75,752
24-Dec-12,66.45,66.45,66.45,66.45,76
21-Dec-12,64.50,67.35,63.58,63.75,534
20-Dec-12,58.95,64.95,58.74,61.65,233
19-Dec-12,58.80,67.05,56.25,57.75,1092
18-Dec-12,62.10,62.10,51.60,58.64,1039
17-Dec-12,67.50,67.50,60.00,63.60,783
14-Dec-12,69.75,71.86,67.65,68.10,1887
13-Dec-12,76.65,78.00,68.85,71.10,1498
12-Dec-12,80.10,80.10,73.80,73.80,1537
11-Dec-12,78.60,78.60,72.30,74.85,2293
10-Dec-12,70.20,84.15,69.00,72.30,15266
7-Dec-12,67.35,75.15,66.30,71.25,5163
6-Dec-12,66.00,66.00,66.00,66.00,153
5-Dec-12,69.00,69.00,65.25,65.25,387
4-Dec-12,68.40,69.00,64.95,69.00,120
3-Dec-12,66.90,68.40,63.58,64.05,520
30-Nov-12,69.60,69.60,67.05,68.40,557
29-Nov-12,69.60,69.60,67.80,67.95,673
28-Nov-12,67.50,68.25,67.50,67.50,173
27-Nov-12,68.03,68.24,67.20,68.10,98
26-Nov-12,69.00,69.00,66.21,69.00,652
23-Nov-12,70.65,70.65,68.55,69.00,83
21-Nov-12,69.60,69.60,66.60,68.25,810
20-Nov-12,69.60,69.60,67.06,67.06,155
19-Nov-12,65.70,67.50,65.70,67.50,247
16-Nov-12,70.65,70.65,64.20,64.20,589
15-Nov-12,67.50,70.05,67.35,70.05,500
14-Nov-12,68.40,68.40,64.05,64.50,127
13-Nov-12,69.60,69.75,66.30,66.30,1313
12-Nov-12,59.85,69.38,59.85,69.00,1608
9-Nov-12,70.35,70.35,60.75,60.75,3459
8-Nov-12,68.25,75.00,63.75,72.00,13840
