Date,Open,High,Low,Close,Volume
31-Dec-13,4.28,4.51,4.24,4.47,2277418
30-Dec-13,4.09,4.30,4.04,4.30,1336331
27-Dec-13,4.15,4.15,4.02,4.12,795534
26-Dec-13,4.24,4.24,4.12,4.15,777072
24-Dec-13,4.25,4.27,4.21,4.24,437824
23-Dec-13,4.25,4.30,4.14,4.25,1399853
20-Dec-13,4.23,4.36,4.21,4.24,1903181
19-Dec-13,4.21,4.25,4.17,4.19,737864
18-Dec-13,4.07,4.30,4.05,4.23,1817880
17-Dec-13,4.01,4.15,3.97,4.08,1207425
16-Dec-13,3.95,4.02,3.94,4.00,968954
13-Dec-13,3.95,4.00,3.91,3.95,1337001
12-Dec-13,3.92,3.98,3.90,3.97,767519
11-Dec-13,3.98,4.00,3.90,3.92,940864
10-Dec-13,3.96,3.99,3.88,3.98,892415
9-Dec-13,3.98,4.02,3.88,4.00,841964
6-Dec-13,3.88,4.03,3.85,3.97,1259669
5-Dec-13,3.86,3.92,3.83,3.84,894231
4-Dec-13,3.79,3.92,3.78,3.88,1409116
3-Dec-13,3.81,3.86,3.80,3.80,562715
2-Dec-13,3.93,3.95,3.79,3.83,939791
29-Nov-13,3.84,3.95,3.83,3.94,622905
27-Nov-13,3.80,3.85,3.77,3.84,500789
26-Nov-13,3.76,3.81,3.67,3.81,1050190
25-Nov-13,3.85,3.90,3.74,3.75,1103452
22-Nov-13,3.91,3.93,3.83,3.87,548688
21-Nov-13,3.83,3.92,3.80,3.90,931497
20-Nov-13,3.76,3.85,3.73,3.80,916912
19-Nov-13,3.75,3.82,3.74,3.75,815079
18-Nov-13,3.92,3.94,3.76,3.76,1204081
15-Nov-13,3.93,3.94,3.85,3.92,1186081
14-Nov-13,3.79,4.00,3.72,3.93,1608411
13-Nov-13,3.71,3.74,3.66,3.73,1105303
12-Nov-13,3.74,3.75,3.60,3.74,1226823
11-Nov-13,3.76,3.82,3.73,3.74,942094
8-Nov-13,3.62,3.78,3.61,3.77,1619928
7-Nov-13,3.72,3.72,3.54,3.64,2143043
6-Nov-13,3.93,3.93,3.62,3.72,2735424
5-Nov-13,3.95,3.98,3.89,3.89,1323012
4-Nov-13,3.91,3.96,3.88,3.95,1060407
1-Nov-13,3.99,4.00,3.90,3.91,2021148
31-Oct-13,4.05,4.09,3.99,4.02,1267515
30-Oct-13,4.16,4.19,4.00,4.06,1821314
29-Oct-13,4.13,4.17,4.08,4.15,1168946
28-Oct-13,4.13,4.15,4.08,4.13,1086785
25-Oct-13,4.19,4.19,4.10,4.15,1127606
24-Oct-13,4.22,4.22,4.08,4.14,1491676
23-Oct-13,4.13,4.25,4.11,4.19,1168536
22-Oct-13,4.23,4.25,4.10,4.13,2185894
21-Oct-13,4.34,4.39,4.20,4.24,2289450
18-Oct-13,4.41,4.44,4.32,4.36,2480816
17-Oct-13,4.24,4.48,4.13,4.39,4250039
16-Oct-13,4.35,4.35,4.17,4.26,3699093
15-Oct-13,4.67,4.69,4.21,4.36,5197364
14-Oct-13,5.11,5.15,4.57,4.69,12570895
11-Oct-13,4.50,4.56,4.45,4.53,2487918
10-Oct-13,4.27,4.45,4.20,4.42,2765103
9-Oct-13,4.41,4.42,4.08,4.18,2371532
8-Oct-13,4.60,4.63,4.33,4.36,2543040
7-Oct-13,4.65,4.66,4.50,4.53,1884044
4-Oct-13,4.49,4.72,4.45,4.59,3234919
3-Oct-13,4.32,4.47,4.25,4.46,2092564
2-Oct-13,4.35,4.35,4.27,4.28,1366080
1-Oct-13,4.19,4.37,4.15,4.36,3150202
30-Sep-13,4.15,4.15,4.05,4.06,2203488
27-Sep-13,3.99,4.22,3.98,4.15,2600296
26-Sep-13,4.02,4.06,3.95,3.96,1478340
25-Sep-13,4.02,4.06,4.00,4.01,1312699
24-Sep-13,4.06,4.08,3.99,4.03,1742209
23-Sep-13,4.06,4.11,4.00,4.02,1057067
20-Sep-13,4.09,4.12,3.99,4.05,2706804
19-Sep-13,4.00,4.03,3.98,4.02,1233659
18-Sep-13,4.24,4.24,3.87,4.03,3051899
17-Sep-13,4.38,4.38,4.18,4.23,1802932
16-Sep-13,4.41,4.43,4.34,4.36,624741
13-Sep-13,4.36,4.38,4.29,4.38,337579
12-Sep-13,4.36,4.40,4.33,4.34,408686
11-Sep-13,4.40,4.45,4.36,4.38,630234
10-Sep-13,4.37,4.44,4.33,4.39,878874
9-Sep-13,4.30,4.38,4.18,4.37,1127050
6-Sep-13,4.33,4.35,4.23,4.28,1178193
5-Sep-13,4.35,4.38,4.31,4.32,522082
4-Sep-13,4.38,4.40,4.33,4.36,537374
3-Sep-13,4.45,4.47,4.38,4.38,518661
30-Aug-13,4.43,4.47,4.39,4.40,475128
29-Aug-13,4.37,4.47,4.37,4.43,487051
28-Aug-13,4.41,4.46,4.37,4.38,852970
27-Aug-13,4.45,4.47,4.41,4.41,485739
26-Aug-13,4.48,4.50,4.45,4.48,872481
23-Aug-13,4.50,4.50,4.45,4.48,317634
22-Aug-13,4.49,4.50,4.46,4.49,368538
21-Aug-13,4.49,4.53,4.45,4.45,489110
20-Aug-13,4.47,4.51,4.44,4.49,464132
19-Aug-13,4.41,4.51,4.41,4.45,553041
16-Aug-13,4.46,4.51,4.38,4.41,676794
15-Aug-13,4.45,4.52,4.41,4.49,667749
14-Aug-13,4.55,4.58,4.49,4.50,425160
13-Aug-13,4.55,4.58,4.52,4.56,562725
12-Aug-13,4.50,4.60,4.49,4.55,724611
9-Aug-13,4.59,4.65,4.53,4.54,785800
8-Aug-13,4.62,4.67,4.50,4.57,1364030
7-Aug-13,4.50,4.66,4.38,4.58,1980820
6-Aug-13,4.38,4.44,4.38,4.44,994788
5-Aug-13,4.31,4.42,4.31,4.39,368242
2-Aug-13,4.40,4.43,4.33,4.35,442963
1-Aug-13,4.44,4.46,4.35,4.42,540205
31-Jul-13,4.28,4.44,4.26,4.42,798457
30-Jul-13,4.30,4.33,4.25,4.28,436738
29-Jul-13,4.38,4.40,4.29,4.30,413857
26-Jul-13,4.44,4.45,4.33,4.36,613860
25-Jul-13,4.24,4.48,4.19,4.44,857902
24-Jul-13,4.31,4.39,4.18,4.23,664980
23-Jul-13,4.37,4.40,4.27,4.30,640745
22-Jul-13,4.31,4.40,4.08,4.40,1685406
19-Jul-13,4.53,4.54,4.30,4.33,1597719
18-Jul-13,4.55,4.58,4.53,4.55,515110
17-Jul-13,4.56,4.56,4.52,4.55,658922
16-Jul-13,4.53,4.56,4.52,4.56,612878
15-Jul-13,4.54,4.54,4.50,4.54,582109
12-Jul-13,4.55,4.56,4.50,4.54,514715
11-Jul-13,4.52,4.54,4.47,4.54,817624
10-Jul-13,4.48,4.51,4.43,4.50,621993
9-Jul-13,4.50,4.55,4.47,4.50,771908
8-Jul-13,4.47,4.52,4.41,4.50,1477059
5-Jul-13,4.35,4.45,4.25,4.45,1208143
3-Jul-13,4.36,4.37,4.27,4.27,450885
2-Jul-13,4.24,4.37,4.21,4.35,1401542
1-Jul-13,4.16,4.23,4.13,4.23,1118799
28-Jun-13,4.15,4.18,4.12,4.16,1712251
27-Jun-13,4.10,4.18,4.09,4.16,720380
26-Jun-13,4.07,4.10,4.06,4.07,644312
25-Jun-13,4.18,4.20,4.04,4.06,2209106
24-Jun-13,4.06,4.25,4.02,4.16,1228038
21-Jun-13,4.10,4.12,4.05,4.08,1164874
20-Jun-13,4.07,4.10,4.02,4.08,850611
19-Jun-13,4.09,4.12,4.08,4.10,641776
18-Jun-13,4.07,4.14,4.05,4.10,680025
17-Jun-13,4.15,4.15,4.03,4.09,883944
14-Jun-13,4.04,4.10,4.00,4.09,563485
13-Jun-13,4.06,4.10,4.01,4.03,932543
12-Jun-13,4.11,4.14,4.02,4.02,817727
11-Jun-13,4.09,4.13,4.03,4.10,899802
10-Jun-13,4.10,4.20,4.07,4.11,888462
7-Jun-13,4.16,4.17,4.06,4.08,743206
6-Jun-13,4.18,4.20,4.05,4.12,930157
5-Jun-13,4.17,4.23,4.10,4.16,953665
4-Jun-13,4.01,4.20,4.01,4.20,1388433
3-Jun-13,4.06,4.09,3.98,3.99,1748630
31-May-13,4.12,4.14,4.05,4.06,796185
30-May-13,4.04,4.11,4.03,4.09,523444
29-May-13,4.08,4.10,4.02,4.02,765157
28-May-13,4.16,4.20,4.06,4.08,963934
24-May-13,4.05,4.12,4.00,4.11,664451
23-May-13,3.90,4.06,3.87,4.05,1095854
22-May-13,4.06,4.14,3.94,3.96,1462393
21-May-13,4.11,4.13,4.02,4.06,827830
20-May-13,4.08,4.16,4.05,4.09,1295712
17-May-13,4.00,4.07,3.99,4.06,1304583
16-May-13,4.01,4.03,3.92,3.98,1224046
15-May-13,4.00,4.00,3.93,4.00,1707645
14-May-13,3.80,3.91,3.78,3.90,971560
13-May-13,3.77,3.87,3.73,3.78,606199
10-May-13,3.65,3.80,3.65,3.78,632444
9-May-13,3.71,3.73,3.67,3.67,752858
8-May-13,3.78,3.80,3.68,3.74,1322322
7-May-13,3.95,3.98,3.82,3.86,779471
6-May-13,4.00,4.10,3.92,3.93,1078329
3-May-13,3.80,3.97,3.76,3.96,1593721
2-May-13,3.65,3.82,3.65,3.76,796807
1-May-13,3.80,3.81,3.65,3.65,1094838
30-Apr-13,3.82,3.86,3.73,3.79,895781
29-Apr-13,3.90,3.93,3.81,3.82,783616
26-Apr-13,3.82,3.95,3.77,3.88,1453053
25-Apr-13,3.57,3.80,3.55,3.79,1663026
24-Apr-13,3.51,3.58,3.50,3.55,680554
23-Apr-13,3.54,3.56,3.49,3.51,1184826
22-Apr-13,3.59,3.59,3.50,3.53,638132
19-Apr-13,3.50,3.59,3.49,3.57,578959
18-Apr-13,3.53,3.54,3.47,3.50,653851
17-Apr-13,3.52,3.58,3.46,3.54,973875
16-Apr-13,3.51,3.56,3.44,3.55,1020261
15-Apr-13,3.63,3.63,3.48,3.48,1247970
12-Apr-13,3.55,3.63,3.52,3.63,1104279
11-Apr-13,3.53,3.60,3.47,3.57,999964
10-Apr-13,3.50,3.56,3.50,3.52,739054
9-Apr-13,3.46,3.56,3.44,3.51,942851
8-Apr-13,3.49,3.53,3.41,3.45,581765
5-Apr-13,3.40,3.52,3.40,3.50,739335
4-Apr-13,3.50,3.51,3.40,3.43,1000238
3-Apr-13,3.60,3.60,3.50,3.50,652020
2-Apr-13,3.56,3.58,3.50,3.52,630474
1-Apr-13,3.57,3.60,3.50,3.53,929438
28-Mar-13,3.55,3.59,3.50,3.58,1324549
27-Mar-13,3.50,3.58,3.47,3.54,1026362
