Date,Open,High,Low,Close,Volume
31-Dec-13,2.27,2.38,2.25,2.31,56715
30-Dec-13,2.34,2.38,2.28,2.29,16349
27-Dec-13,2.38,2.40,2.28,2.33,2782
26-Dec-13,2.40,2.43,2.33,2.38,7894
24-Dec-13,2.37,2.45,2.35,2.40,9005
23-Dec-13,2.33,2.40,2.33,2.40,8491
20-Dec-13,2.44,2.50,2.33,2.33,5605
19-Dec-13,2.50,2.50,2.45,2.45,2001
18-Dec-13,2.50,2.55,2.47,2.49,230473
17-Dec-13,2.56,2.56,2.47,2.50,6077
16-Dec-13,2.50,2.56,2.50,2.56,22180
13-Dec-13,2.50,2.50,2.50,2.50,50177
12-Dec-13,2.53,2.56,2.50,2.53,26345
11-Dec-13,2.50,2.55,2.47,2.50,65349
10-Dec-13,2.50,2.54,2.50,2.50,9729
9-Dec-13,2.50,2.51,2.47,2.50,26001
6-Dec-13,2.50,2.56,2.50,2.56,54448
5-Dec-13,2.50,2.52,2.50,2.51,4300
4-Dec-13,2.50,2.56,2.50,2.56,16346
3-Dec-13,2.50,2.56,2.50,2.50,14686
2-Dec-13,2.50,2.56,2.46,2.56,8345
29-Nov-13,2.63,2.63,2.58,2.58,10970
27-Nov-13,2.43,2.60,2.41,2.58,260848
26-Nov-13,2.45,2.52,2.45,2.47,22271
25-Nov-13,2.43,2.49,2.43,2.49,38326
22-Nov-13,2.48,2.52,2.48,2.48,12860
21-Nov-13,2.48,2.52,2.48,2.52,2400
20-Nov-13,2.50,2.54,2.50,2.50,31200
19-Nov-13,2.50,2.52,2.48,2.50,20382
18-Nov-13,2.50,2.51,2.47,2.48,22597
15-Nov-13,2.46,2.51,2.46,2.51,34624
14-Nov-13,2.55,2.55,2.48,2.48,8700
13-Nov-13,2.49,2.50,2.47,2.50,4097
12-Nov-13,2.45,2.50,2.44,2.44,37259
11-Nov-13,2.48,2.50,2.45,2.46,6200
8-Nov-13,2.45,2.45,2.45,2.45,3440
7-Nov-13,2.49,2.49,2.45,2.45,3647
6-Nov-13,2.45,2.47,2.45,2.47,400
5-Nov-13,2.46,2.50,2.45,2.50,13672
4-Nov-13,2.52,2.52,2.47,2.50,11691
1-Nov-13,2.48,2.52,2.48,2.50,3523
31-Oct-13,2.51,2.51,2.46,2.51,13432
30-Oct-13,2.50,2.50,2.45,2.45,1330
29-Oct-13,2.45,2.50,2.45,2.49,10665
28-Oct-13,2.51,2.51,2.44,2.46,9718
25-Oct-13,2.45,2.51,2.45,2.51,13331
24-Oct-13,2.46,2.52,2.43,2.48,2572
23-Oct-13,2.46,2.49,2.46,2.49,380
22-Oct-13,2.49,2.49,2.45,2.46,1270
21-Oct-13,2.48,2.50,2.44,2.45,11663
18-Oct-13,2.51,2.56,2.49,2.49,15199
17-Oct-13,2.50,2.50,2.50,2.50,2600
16-Oct-13,2.45,2.51,2.45,2.51,4132
15-Oct-13,2.45,2.52,2.44,2.46,13300
14-Oct-13,2.44,2.46,2.43,2.46,2415
