Date,Open,High,Low,Close,Volume
31-Dec-13,17.01,17.50,17.01,17.45,1341
26-Dec-13,17.43,17.48,17.43,17.46,2052
24-Dec-13,17.50,17.50,17.48,17.48,1500
23-Dec-13,17.66,17.66,17.66,17.66,168
18-Dec-13,17.57,17.57,17.57,17.57,244
17-Dec-13,17.05,17.25,17.05,17.25,2101
16-Dec-13,17.59,17.61,17.48,17.48,1548
13-Dec-13,17.79,18.00,17.05,17.05,4706
12-Dec-13,17.93,17.93,17.93,17.93,306
11-Dec-13,17.96,17.96,17.96,17.96,200
10-Dec-13,18.00,18.00,17.95,17.99,400
9-Dec-13,18.00,18.02,18.00,18.00,2833
6-Dec-13,18.08,18.26,18.08,18.26,300
5-Dec-13,18.00,18.50,18.00,18.50,1100
4-Dec-13,18.44,18.44,18.02,18.02,200
3-Dec-13,18.34,18.34,18.34,18.34,100
2-Dec-13,18.45,18.45,18.45,18.45,200
27-Nov-13,17.86,18.52,17.86,18.45,1135
26-Nov-13,17.98,17.98,17.98,17.98,300
25-Nov-13,18.02,18.02,18.02,18.02,300
22-Nov-13,18.08,18.08,17.00,18.00,1698
21-Nov-13,18.28,18.28,18.20,18.20,500
20-Nov-13,18.18,18.35,18.11,18.11,1820
19-Nov-13,18.20,18.55,18.15,18.15,1610
18-Nov-13,18.43,18.43,18.21,18.25,600
15-Nov-13,18.67,18.75,18.34,18.55,5760
14-Nov-13,18.24,18.99,18.24,18.27,4641
13-Nov-13,19.37,19.37,19.37,19.37,300
11-Nov-13,19.48,19.48,19.48,19.48,300
8-Nov-13,19.49,19.49,19.49,19.49,100
7-Nov-13,19.71,19.71,19.71,19.71,100
6-Nov-13,19.71,19.71,19.71,19.71,100
5-Nov-13,20.05,20.05,19.72,19.73,9794
4-Nov-13,19.98,20.25,19.95,20.03,5918
1-Nov-13,19.98,20.00,19.97,20.00,2805
31-Oct-13,19.23,19.23,19.23,19.23,300
30-Oct-13,18.76,18.76,18.75,18.75,490
29-Oct-13,19.02,19.02,19.02,19.02,300
28-Oct-13,18.21,19.00,18.15,19.00,955
25-Oct-13,19.00,19.00,19.00,19.00,214
22-Oct-13,19.00,19.00,19.00,19.00,448
18-Oct-13,19.30,19.30,19.00,19.00,1700
16-Oct-13,19.00,19.00,19.00,19.00,1874
14-Oct-13,19.25,19.25,19.10,19.10,207
11-Oct-13,19.22,19.22,19.22,19.22,124
10-Oct-13,19.07,19.07,19.07,19.07,276
8-Oct-13,18.93,18.98,18.93,18.98,321
7-Oct-13,18.95,18.96,18.95,18.96,656
4-Oct-13,18.55,18.57,18.55,18.55,3140
2-Oct-13,18.50,18.55,18.50,18.55,1100
1-Oct-13,18.95,19.30,18.75,18.75,2300
