Date,Open,High,Low,Close,Volume
31-Dec-13,21.70,21.70,21.34,21.35,19747
30-Dec-13,21.52,21.85,21.51,21.51,7250
27-Dec-13,21.85,21.89,21.50,21.51,10650
26-Dec-13,21.70,21.70,21.45,21.70,6700
24-Dec-13,21.70,21.70,21.70,21.70,1233
23-Dec-13,21.65,22.14,21.43,21.70,9200
20-Dec-13,21.25,21.74,21.15,21.74,17095
19-Dec-13,21.35,21.52,21.24,21.51,6500
18-Dec-13,21.70,21.70,21.20,21.67,8700
17-Dec-13,21.81,22.00,21.60,21.60,7180
16-Dec-13,22.00,22.01,21.81,22.00,4955
13-Dec-13,21.90,21.91,21.71,21.71,8010
12-Dec-13,21.87,22.00,21.87,21.91,817
11-Dec-13,22.15,22.16,21.86,21.89,2500
10-Dec-13,21.75,22.19,21.75,22.03,2575
9-Dec-13,21.90,22.33,21.90,22.10,7896
6-Dec-13,22.15,22.15,21.90,21.90,9851
5-Dec-13,22.30,22.30,22.20,22.25,2104
4-Dec-13,22.42,22.42,22.15,22.30,3345
3-Dec-13,22.31,22.41,22.25,22.41,5200
2-Dec-13,22.31,22.36,22.31,22.36,5100
29-Nov-13,22.48,22.48,22.48,22.48,200
27-Nov-13,22.50,22.50,22.50,22.50,1000
26-Nov-13,22.45,22.50,22.30,22.30,5634
25-Nov-13,22.38,22.50,22.30,22.50,6160
22-Nov-13,22.33,22.38,22.32,22.32,3292
21-Nov-13,22.63,22.63,22.35,22.38,24637
20-Nov-13,22.71,22.71,22.70,22.70,500
19-Nov-13,23.25,23.43,22.10,22.71,3333
18-Nov-13,23.30,23.30,23.30,23.30,700
15-Nov-13,23.57,23.57,23.07,23.08,1490
14-Nov-13,23.35,23.35,23.35,23.35,375
13-Nov-13,23.33,23.33,23.33,23.33,300
12-Nov-13,23.78,23.80,23.78,23.79,932
11-Nov-13,23.78,23.78,23.76,23.77,400
8-Nov-13,23.78,23.78,23.78,23.78,710
7-Nov-13,23.72,23.86,23.72,23.85,2000
6-Nov-13,23.80,23.80,23.37,23.37,850
5-Nov-13,23.70,23.75,23.69,23.75,2600
4-Nov-13,23.50,23.75,23.50,23.72,1525
1-Nov-13,23.70,23.70,23.38,23.40,3360
31-Oct-13,23.48,23.65,23.31,23.65,3490
30-Oct-13,23.40,23.60,23.40,23.60,900
29-Oct-13,23.40,23.65,23.40,23.65,500
28-Oct-13,23.84,23.84,23.34,23.40,2754
25-Oct-13,23.40,23.40,23.33,23.40,836
24-Oct-13,23.65,23.65,23.50,23.50,1750
22-Oct-13,23.45,23.65,23.45,23.50,3350
21-Oct-13,23.42,23.42,23.42,23.42,150
18-Oct-13,23.25,23.65,23.25,23.55,1917
17-Oct-13,23.21,23.25,23.21,23.25,1400
16-Oct-13,23.20,23.20,23.20,23.20,500
15-Oct-13,23.45,23.46,23.45,23.46,1225
11-Oct-13,23.51,23.60,23.40,23.40,2672
10-Oct-13,23.50,23.70,23.50,23.70,1450
9-Oct-13,23.50,23.50,23.50,23.50,1000
8-Oct-13,23.50,23.50,23.50,23.50,1200
7-Oct-13,23.90,23.90,23.89,23.89,1200
4-Oct-13,23.53,23.85,23.42,23.85,1680
3-Oct-13,23.85,23.85,23.60,23.60,4350
2-Oct-13,23.78,23.80,23.78,23.80,600
1-Oct-13,23.70,23.80,23.53,23.53,1500
30-Sep-13,23.80,23.80,23.80,23.80,950
27-Sep-13,23.60,23.86,23.41,23.85,2800
26-Sep-13,23.83,23.84,23.81,23.84,2200
25-Sep-13,23.87,23.90,23.87,23.90,1300
