Date,Open,High,Low,Close,Volume
31-Dec-13,17.34,17.43,17.22,17.40,48903
30-Dec-13,17.49,17.52,17.34,17.34,17512
27-Dec-13,17.73,17.73,17.43,17.55,16956
26-Dec-13,17.88,17.88,17.55,17.64,31049
24-Dec-13,17.88,18.00,17.70,17.85,33657
23-Dec-13,17.97,18.00,17.76,17.91,72492
20-Dec-13,17.28,17.97,17.25,17.88,160018
19-Dec-13,17.34,17.55,17.16,17.19,32837
18-Dec-13,17.04,17.46,16.80,17.40,60786
17-Dec-13,17.22,17.22,16.74,16.98,34137
16-Dec-13,16.98,17.25,16.95,17.16,40565
13-Dec-13,16.89,17.01,16.83,16.86,40106
12-Dec-13,16.80,16.98,16.80,16.80,31598
11-Dec-13,17.04,17.16,16.80,16.80,52426
10-Dec-13,17.52,17.52,17.04,17.07,66111
9-Dec-13,17.55,17.70,17.37,17.49,35632
6-Dec-13,17.55,17.94,17.43,17.61,24608
5-Dec-13,17.46,17.49,17.19,17.40,32069
4-Dec-13,17.49,17.52,17.31,17.43,24786
3-Dec-13,17.46,17.70,17.31,17.49,48711
2-Dec-13,17.94,17.94,17.46,17.49,34370
29-Nov-13,18.18,18.30,17.94,18.00,36429
27-Nov-13,17.85,18.18,17.76,18.00,42965
26-Nov-13,17.55,17.82,17.46,17.76,42137
25-Nov-13,17.94,18.28,17.46,17.49,67463
22-Nov-13,18.16,18.16,17.40,17.82,36611
21-Nov-13,17.16,17.55,17.10,17.49,48274
20-Nov-13,16.95,17.14,16.83,17.13,54320
19-Nov-13,17.01,17.16,16.80,16.86,25681
18-Nov-13,17.07,17.16,16.96,17.01,31739
15-Nov-13,16.95,17.01,16.80,16.95,28935
14-Nov-13,17.01,17.01,16.95,16.98,13893
13-Nov-13,16.68,16.98,16.68,16.98,35652
12-Nov-13,16.68,16.83,16.62,16.71,48731
11-Nov-13,16.74,16.83,16.41,16.65,53463
8-Nov-13,16.20,17.07,15.96,16.71,86974
7-Nov-13,16.20,16.38,16.08,16.26,61247
6-Nov-13,15.99,16.17,15.84,16.14,21434
5-Nov-13,15.93,16.05,15.78,15.84,54237
4-Nov-13,16.05,16.17,15.90,15.96,50356
1-Nov-13,15.84,16.16,15.60,15.93,91354
31-Oct-13,15.96,15.96,15.48,15.51,74467
30-Oct-13,16.32,16.32,15.60,15.99,36679
29-Oct-13,15.87,15.90,15.60,15.84,26431
28-Oct-13,15.45,15.81,15.45,15.78,26609
25-Oct-13,15.66,15.66,15.45,15.60,16836
24-Oct-13,15.72,15.72,15.48,15.60,26819
23-Oct-13,15.51,15.72,15.27,15.72,34773
22-Oct-13,15.75,15.87,15.51,15.69,95711
21-Oct-13,15.90,16.14,15.75,15.75,32544
18-Oct-13,15.81,15.90,15.57,15.90,49683
17-Oct-13,15.30,15.72,15.30,15.69,29226
16-Oct-13,15.51,15.63,15.36,15.39,23250
15-Oct-13,15.72,15.78,15.42,15.45,34845
14-Oct-13,15.60,15.81,15.54,15.78,30207
11-Oct-13,15.30,15.78,15.24,15.72,38118
10-Oct-13,15.27,15.45,15.14,15.33,35921
9-Oct-13,15.03,15.18,14.94,15.03,56506
8-Oct-13,15.00,15.15,14.85,14.94,46906
7-Oct-13,15.03,15.15,14.97,14.97,20727
4-Oct-13,14.97,15.27,14.97,15.18,21465
3-Oct-13,15.27,15.66,14.88,15.00,48390
2-Oct-13,15.48,15.60,15.21,15.33,50233
1-Oct-13,15.57,15.84,15.39,15.54,46000
30-Sep-13,15.33,15.66,15.18,15.63,90989
27-Sep-13,15.42,15.75,15.27,15.51,21497
26-Sep-13,15.78,15.90,15.51,15.54,25870
25-Sep-13,15.69,15.99,15.54,15.72,44285
24-Sep-13,15.60,15.87,15.52,15.69,50377
23-Sep-13,15.42,15.72,15.16,15.63,34799
20-Sep-13,15.12,15.48,14.97,15.48,92702
19-Sep-13,15.33,15.39,15.03,15.12,20558
18-Sep-13,15.18,15.42,15.06,15.33,103698
17-Sep-13,15.03,15.21,14.94,15.18,31845
16-Sep-13,15.00,15.09,14.85,15.06,85045
13-Sep-13,14.79,14.94,14.55,14.91,65314
12-Sep-13,14.85,14.97,14.67,14.70,37256
11-Sep-13,14.88,15.00,14.73,14.88,23011
10-Sep-13,14.85,14.97,14.76,14.97,43914
9-Sep-13,14.73,14.85,14.55,14.85,21481
6-Sep-13,14.85,14.85,14.40,14.70,21184
5-Sep-13,14.64,14.79,14.55,14.79,43813
4-Sep-13,14.43,14.88,14.43,14.64,65839
3-Sep-13,14.43,14.58,14.10,14.46,38168
30-Aug-13,14.58,14.64,14.25,14.28,81226
29-Aug-13,14.52,14.70,14.52,14.64,72582
28-Aug-13,14.37,14.55,14.37,14.52,28293
27-Aug-13,14.58,14.94,14.28,14.40,48182
26-Aug-13,14.91,15.00,14.67,14.76,14793
23-Aug-13,14.94,14.97,14.73,14.91,18563
22-Aug-13,14.73,14.97,14.67,14.97,32493
21-Aug-13,14.67,14.97,14.58,14.73,58073
